"ID","chrom","loc.start","loc.end","num.mark","seg.mean","seg.sd","seg.median","seg.mad","pval","lcl","ucl"
"Sample.1","chr1",717994,13625000,149,-0.2152,0.1094,-0.1969,0.0942,5.64214025996644e-08,12075000,13800000
"Sample.1","chr1",13725000,15100000,6,-0.405,0.0946,-0.4024,0.1018,1.42416748293065e-06,14725000,15450000
"Sample.1","chr1",15175000,32775000,164,-0.2179,0.0813,-0.212,0.0809,0,32725000,32825000
"Sample.1","chr1",32825000,158125000,488,0.0647,0.0809,0.0769,0.0721,3.43737566267531e-10,157475000,158725000
"Sample.1","chr1",158250000,159200000,5,-0.1934,0.1863,-0.2319,0.2312,2.00592339408422e-10,158450000,159525000
"Sample.1","chr1",159525000,185825000,111,0.0473,0.0797,0.054,0.0756,1.07818656213838e-13,185500000,194400000
"Sample.1","chr1",186150000,199450000,18,-0.1656,0.2048,-0.1664,0.2008,3.02259940395786e-19,196875000,200150000
"Sample.1","chr1",200150000,248898211,247,0.0541,0.0822,0.061,0.0714,NA,NA,NA
"Sample.1","chr10",55000,50650000,208,-0.385,0.1705,-0.3625,0.1563,2.82682625250209e-06,49000000,60225000
"Sample.1","chr10",51175000,67800000,30,-0.5782,0.2427,-0.5723,0.1714,2.74276478223804e-13,61950000,68425000
"Sample.1","chr10",67950000,133620233,365,-0.3189,0.1659,-0.2849,0.1625,NA,NA,NA
"Sample.1","chr11",130000,4200000,66,-0.1782,0.0958,-0.1584,0.0789,2.59217429771874e-47,3950000,4200000
"Sample.1","chr11",4475000,6050000,10,-0.7344,0.1918,-0.7071,0.1664,1.17135509794619e-08,5625000,6425000
"Sample.1","chr11",6225000,36475000,131,-0.3629,0.1774,-0.3428,0.175,0.000624982748127679,35775000,36475000
"Sample.1","chr11",38550000,42550000,3,-0.8087,0.1865,-0.7843,0.2204,9.42299286853381e-10,42550000,42550000
"Sample.1","chr11",43450000,45750000,17,-0.2369,0.137,-0.2685,0.1097,3.70767470212511e-05,44925000,46050000
"Sample.1","chr11",45825000,47900000,20,-0.0569,0.0939,-0.0314,0.0516,3.37044890902622e-12,47700000,49025000
"Sample.1","chr11",48150000,56975000,13,-0.454,0.22,-0.4044,0.2249,2.55489747412592e-74,56550000,57325000
"Sample.1","chr11",57325000,134913311,452,0.0542,0.0937,0.0737,0.0718,NA,NA,NA
"Sample.1","chr12",55000,6625000,51,-0.3807,0.1441,-0.3668,0.1566,2.87528326193371e-121,6575000,6675000
"Sample.1","chr12",6675000,133182655,564,0.0296,0.1161,0.0567,0.0897,NA,NA,NA
"Sample.1","chr13",18554053,24225000,34,-0.0362,0.0895,-0.0245,0.0808,1.02192197622811e-47,24225000,24400000
"Sample.1","chr13",24400000,31250000,35,-0.4908,0.1575,-0.4876,0.1877,1.15496899439306e-07,30350000,33375000
"Sample.1","chr13",31575000,49075000,61,-0.7282,0.2042,-0.7607,0.1921,0.00378694338666353,45575000,52700000
"Sample.1","chr13",49300000,70975000,32,-0.5267,0.3252,-0.4528,0.2121,1.31452399993699e-14,62600000,73325000
"Sample.1","chr13",72300000,108325000,78,-0.1149,0.1947,-0.0563,0.1379,0.000172486751195645,106225000,109150000
"Sample.1","chr13",108775000,110250000,8,-0.4363,0.1418,-0.4563,0.1594,3.25727852364208e-59,110250000,110250000
"Sample.1","chr13",110350000,114302164,58,-0.0078,0.0544,0.0049,0.0562,NA,NA,NA
"Sample.1","chr14",18981322,106841859,386,-0.0375,0.1416,-0.0141,0.0905,NA,NA,NA
"Sample.1","chr15",20062627,101840595,407,0.0313,0.0818,0.0441,0.0701,NA,NA,NA
"Sample.1","chr16",80000,34219665,226,0.0951,0.0563,0.1043,0.0491,4.69395842720301e-280,34219665,34867311
"Sample.1","chr16",34867311,85225000,179,-0.3046,0.1551,-0.2723,0.1297,1.11319899755912e-102,85175000,85225000
"Sample.1","chr16",85275000,90139173,80,0.0806,0.0485,0.0821,0.052,NA,NA,NA
"Sample.1","chr17",130000,4125000,53,0.0509,0.0669,0.0608,0.0623,6.65404461041889e-47,4050000,4125000
"Sample.1","chr17",4250000,8525000,52,-0.1912,0.0999,-0.1674,0.0683,1.3684140312585e-124,8525000,8650000
"Sample.1","chr17",8650000,68600000,389,0.0861,0.0751,0.0971,0.0615,1.4629107413865e-07,68225000,69500000
