Chrom	Chr	Start	End	Width	BAF.Value	BAF.Status	Start.FeatureName	End.FeatureName	Start.FeatureIdx	End.FeatureIdx	Features
chr1	1	754192	38900680	38146489	0.8957	Unbalanced	S-tag133716	S-tag068798	3222	1	3222
chr1	1	38910188	76565595	37655408	0.6355	Unbalanced	S-tag213031	S-tag257497	6250	3223	3028
chr1	1	76601254	77755686	1154433	0.5	Hetero	S-tag027805	S-tag104357	6334	6251	84
chr1	1	77761175	79941386	2180212	0.6209	Unbalanced	S-tag154375	S-tag169711	6488	6335	154
chr1	1	79973883	80768631	794749	0.5714	Unbalanced	S-tag261848	S-tag288756	6546	6489	58
chr1	1	80791474	85113229	4321756	0.637	Unbalanced	S-tag173409	S-tag238072	6845	6547	299
chr1	1	85174994	87422447	2247454	0.685	Unbalanced	S-tag047245	S-tag313748	7028	6846	183
chr1	1	87448881	92862981	5414101	0.6401	Unbalanced	S-tag206179	S-tag167188	7474	7029	446
chr1	1	92870342	98348885	5478544	0.5	Hetero	S-tag049658	S-tag237054	7909	7475	435
chr1	1	98362831	100715276	2352446	0.6477	Unbalanced	S-tag007786	S-tag148155	8075	7910	166
chr1	1	100743078	110240929	9497852	0.5	Hetero	S-tag027393	S-tag318912	8821	8076	746
chr1	1	110246359	111181086	934728	0.6342	Unbalanced	S-tag173535	S-tag314567	8916	8822	95
chr1	1	111193595	111575921	382327	0.5601	Unbalanced	S-tag300106	S-tag299867	8945	8917	29
chr1	1	111586634	152301576	40714943	0.5	Hetero	S-tag149824	S-tag058763	10221	8946	1276
chr1	1	152307338	159605894	7298557	0.6409	Unbalanced	S-tag307125	S-tag224084	10903	10222	682
chr1	1	159616629	201148020	41531392	0.6326	Unbalanced	S-tag218662	S-tag253419	14082	10904	3179
chr1	1	201166383	208623622	7457240	0.6247	Unbalanced	S-tag184498	S-tag305231	14645	14083	563
chr1	1	208643993	249212878	40568886	0.8934	Unbalanced	S-tag225328	S-tag279722	17813	14646	3168
chr2	2	21494	46992591	46971098	0.8947	Unbalanced	S-tag008358	S-tag286548	21534	17814	3721
chr2	2	47009746	47695449	685704	0.6346	Unbalanced	S-tag264263	S-tag102105	21603	21535	69
chr2	2	47698384	48009607	311224	0.5642	Unbalanced	S-tag143584	S-tag184381	21645	21604	42
chr2	2	48011132	48647871	636740	0.7946	Unbalanced	S-tag156343	S-tag058090	21708	21646	63
chr2	2	48663080	49124040	460961	0.5	Hetero	S-tag037526	S-tag051172	21740	21709	32
chr2	2	49141838	49982478	840641	0.6149	Unbalanced	S-tag078968	S-tag264425	21796	21741	56
chr2	2	49997218	52887354	2890137	0.8552	Unbalanced	S-tag268952	S-tag239208	21989	21797	193
chr2	2	52896682	243052331	190155650	0.8944	Unbalanced	S-tag227876	S-tag082861	35915	21990	13926
chr3	3	63411	48882514	48819104	0.5	Hetero	S-tag123447	S-tag165711	39693	35916	3778
chr3	3	48905161	49470668	565508	0.5567	Unbalanced	S-tag250928	S-tag082925	39731	39694	38
chr3	3	49490488	93548479	44057992	0.5	Hetero	S-tag264693	S-tag131631	43330	39732	3599
chr3	3	93576812	127709069	34132258	0.6402	Unbalanced	S-tag209292	S-tag295886	45772	43331	2442
chr3	3	127726737	156157738	28431002	0.6352	Unbalanced	S-tag288712	S-tag064297	47881	45773	2109
chr3	3	156175657	163133623	6957967	0.6251	Unbalanced	S-tag091197	S-tag069433	48373	47882	492
chr3	3	163144457	182432406	19287950	0.6382	Unbalanced	S-tag006786	S-tag230172	49787	48374	1414
chr3	3	182453765	187095439	4641675	0.6545	Unbalanced	S-tag315017	S-tag213757	50121	49788	334
chr3	3	187117921	195105481	7987561	0.6271	Unbalanced	S-tag039746	S-tag116740	50880	50122	759
chr3	3	195127093	197852564	2725472	0.6515	Unbalanced	S-tag070216	S-tag251937	51111	50881	231
chr4	4	69404	154755855	154686452	0.5	Hetero	S-tag272826	S-tag075601	62031	51112	10920
chr4	4	154773027	155337663	564637	0.597	Unbalanced	S-tag235936	S-tag102414	62093	62032	62
chr4	4	155365967	167331693	11965727	0.5	Hetero	S-tag294354	S-tag242067	62913	62094	820
chr4	4	167355543	190915650	23560108	0.6336	Unbalanced	S-tag052357	S-tag011735	64556	62914	1643
chr5	5	38139	1451782	1413644	0.6163	Unbalanced	S-tag083571	S-tag259337	64688	64557	132
chr5	5	1470900	1912921	442022	0.8202	Unbalanced	S-tag266868	S-tag199928	64721	64689	33
chr5	5	1937053	9009675	7072623	0.5	Hetero	S-tag212845	S-tag208488	65197	64722	476
chr5	5	9025608	15836534	6810927	0.6138	Unbalanced	S-tag256175	S-tag123958	65651	65198	454
chr5	5	15854098	17877417	2023320	0.58	Unbalanced	S-tag282866	S-tag175400	65780	65652	129
chr5	5	17889537	26856261	8966725	0.5	Hetero	S-tag190939	S-tag321645	66377	65781	597
chr5	5	26866763	28666832	1800070	0.6341	Unbalanced	S-tag173718	S-tag243123	66499	66378	122
chr5	5	28682246	29235973	553728	0.6111	Unbalanced	S-tag001468	S-tag256015	66535	66500	36
chr5	5	29262646	51012870	21750225	0.5	Hetero	S-tag266880	S-tag270152	67893	66536	1358
chr5	5	51031102	53444498	2413397	0.5971	Unbalanced	S-tag263324	S-tag094412	68055	67894	162
chr5	5	53460839	62075179	8614341	0.6437	Unbalanced	S-tag066138	S-tag261490	68679	68056	624
chr5	5	62091025	67193451	5102427	0.6207	Unbalanced	S-tag172413	S-tag178170	69030	68680	351
chr5	5	67206742	73535978	6329237	0.658	Unbalanced	S-tag001503	S-tag147533	69382	69031	352
chr5	5	73569263	86357920	12788658	0.6471	Unbalanced	S-tag239251	S-tag102966	70242	69383	860
chr5	5	86376423	87327401	950979	0.6148	Unbalanced	S-tag108443	S-tag165348	70306	70243	64
chr5	5	87342183	87663610	321428	0.6084	Unbalanced	S-tag112844	S-tag270390	70329	70307	23
chr5	5	87679052	89316506	1637455	0.6419	Unbalanced	S-tag130710	S-tag301232	70458	70330	129
chr5	5	89343174	91034948	1691775	0.5771	Unbalanced	S-tag003986	S-tag254097	70571	70459	113
chr5	5	91051704	92154579	1102876	0.6031	Unbalanced	S-tag095284	S-tag020696	70642	70572	71
chr5	5	92171562	95788810	3617249	0.6329	Unbalanced	S-tag327705	S-tag094749	70882	70643	240
chr5	5	95806979	96323280	516302	0.5618	Unbalanced	S-tag127897	S-tag000198	70918	70883	36
chr5	5	96343552	118026065	21682514	0.5	Hetero	S-tag092386	S-tag078476	72405	70919	1487
chr5	5	118044933	118653933	609001	0.5626	Unbalanced	S-tag176967	S-tag260387	72447	72406	42
