GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
1f165549-2cff-46de-a072-18778b543919	1	62920	17566321	9106	-0.7941
1f165549-2cff-46de-a072-18778b543919	1	17567323	26075586	5183	0.1164
1f165549-2cff-46de-a072-18778b543919	1	26076329	32955860	3442	0.0817
1f165549-2cff-46de-a072-18778b543919	1	32957859	72275051	24856	0.1168
1f165549-2cff-46de-a072-18778b543919	1	72280850	72352916	68	0.4757
1f165549-2cff-46de-a072-18778b543919	1	72353096	75585159	1920	0.1114
1f165549-2cff-46de-a072-18778b543919	1	75589078	75589169	2	-2.3609
1f165549-2cff-46de-a072-18778b543919	1	75593824	103614695	18047	0.1128
1f165549-2cff-46de-a072-18778b543919	1	103614714	103760781	11	-0.5973
1f165549-2cff-46de-a072-18778b543919	1	103760879	104553208	433	0.0968
1f165549-2cff-46de-a072-18778b543919	1	104557290	104561748	2	-1.5233
1f165549-2cff-46de-a072-18778b543919	1	104562728	109690431	3131	0.1203
1f165549-2cff-46de-a072-18778b543919	1	109690640	109691788	5	-1.7573
1f165549-2cff-46de-a072-18778b543919	1	109691933	110833598	840	0.1294
1f165549-2cff-46de-a072-18778b543919	1	110834746	110845604	39	-0.5538
1f165549-2cff-46de-a072-18778b543919	1	110849445	112147704	1067	0.1308
1f165549-2cff-46de-a072-18778b543919	1	112153343	112154576	21	0.7023
1f165549-2cff-46de-a072-18778b543919	1	112154591	113208595	675	0.1309
1f165549-2cff-46de-a072-18778b543919	1	113208823	113209018	2	-2.6673
1f165549-2cff-46de-a072-18778b543919	1	113209037	174827267	21883	0.1098
1f165549-2cff-46de-a072-18778b543919	1	174827418	174832716	17	-0.5581
1f165549-2cff-46de-a072-18778b543919	1	174832734	187746723	8651	0.117
1f165549-2cff-46de-a072-18778b543919	1	187748429	187752238	2	-2.3106
1f165549-2cff-46de-a072-18778b543919	1	187755479	196719029	5926	0.1099
1f165549-2cff-46de-a072-18778b543919	1	196720486	196859808	95	0.3822
1f165549-2cff-46de-a072-18778b543919	1	196862194	199138574	1357	0.106
1f165549-2cff-46de-a072-18778b543919	1	199142235	199143883	8	-0.7403
1f165549-2cff-46de-a072-18778b543919	1	199144712	209897717	7383	0.1274
1f165549-2cff-46de-a072-18778b543919	1	209908268	209910639	3	-1.7416
1f165549-2cff-46de-a072-18778b543919	1	209913207	222847162	8919	0.1225
1f165549-2cff-46de-a072-18778b543919	1	222849581	222850262	2	-2.0059
1f165549-2cff-46de-a072-18778b543919	1	222850427	248930189	18034	0.1219
1f165549-2cff-46de-a072-18778b543919	2	12784	5991327	4492	-0.7662
1f165549-2cff-46de-a072-18778b543919	2	5991808	5992198	3	-4.9593
1f165549-2cff-46de-a072-18778b543919	2	5996402	34466002	19388	-0.7311
1f165549-2cff-46de-a072-18778b543919	2	34474248	34511990	46	-1.6582
1f165549-2cff-46de-a072-18778b543919	2	34512096	82340982	32227	-0.7158
1f165549-2cff-46de-a072-18778b543919	2	82344082	86410726	2365	1.2263
1f165549-2cff-46de-a072-18778b543919	2	86411811	87070602	209	0.5716
1f165549-2cff-46de-a072-18778b543919	2	87074984	212321824	71165	0.1374
1f165549-2cff-46de-a072-18778b543919	2	212322478	212327101	24	-0.8037
1f165549-2cff-46de-a072-18778b543919	2	212327402	242147305	18969	0.1504
1f165549-2cff-46de-a072-18778b543919	3	20930	6604856	5804	0.1052
1f165549-2cff-46de-a072-18778b543919	3	6609441	6611645	23	-0.5049
1f165549-2cff-46de-a072-18778b543919	3	6613391	52994359	29793	0.1141
1f165549-2cff-46de-a072-18778b543919	3	52997720	52998009	11	0.8532
1f165549-2cff-46de-a072-18778b543919	3	52998022	75366712	16897	0.1247
1f165549-2cff-46de-a072-18778b543919	3	75372019	75590356	75	-0.6969
1f165549-2cff-46de-a072-18778b543919	3	75596233	130057833	29645	0.1131
1f165549-2cff-46de-a072-18778b543919	3	130062033	130087393	34	-1.953
1f165549-2cff-46de-a072-18778b543919	3	130088081	145915619	9860	0.1167
1f165549-2cff-46de-a072-18778b543919	3	145924135	145924147	2	-2.5737
1f165549-2cff-46de-a072-18778b543919	3	145924578	158632329	7754	0.1137
1f165549-2cff-46de-a072-18778b543919	3	158633095	158633756	2	-2.3258
1f165549-2cff-46de-a072-18778b543919	3	158641083	194904705	22958	0.1157
1f165549-2cff-46de-a072-18778b543919	3	194908322	194913859	6	-0.9515
1f165549-2cff-46de-a072-18778b543919	3	194920587	195729040	351	0.1065
1f165549-2cff-46de-a072-18778b543919	3	195729053	195737636	11	-0.6398
1f165549-2cff-46de-a072-18778b543919	3	195737995	198169247	1169	0.0998
1f165549-2cff-46de-a072-18778b543919	4	68929	4548721	1912	0.0818
1f165549-2cff-46de-a072-18778b543919	4	4549814	10390730	3973	0.1486
1f165549-2cff-46de-a072-18778b543919	4	10391530	10401140	18	-0.4799
1f165549-2cff-46de-a072-18778b543919	4	10401374	28659234	13018	0.1196
1f165549-2cff-46de-a072-18778b543919	4	28663346	28665354	3	-1.4566
1f165549-2cff-46de-a072-18778b543919	4	28666279	29314452	446	0.1237
1f165549-2cff-46de-a072-18778b543919	4	29316617	29316627	2	-1.5354
1f165549-2cff-46de-a072-18778b543919	4	29316643	34793850	3300	0.1129
1f165549-2cff-46de-a072-18778b543919	4	34794477	34823103	28	-0.4716
1f165549-2cff-46de-a072-18778b543919	4	34828250	56632503	12115	0.1083
1f165549-2cff-46de-a072-18778b543919	4	56633100	56637762	2	-2.3715
1f165549-2cff-46de-a072-18778b543919	4	56640405	68478894	7299	0.1192
1f165549-2cff-46de-a072-18778b543919	4	68494770	68530748	15	-2.0836
1f165549-2cff-46de-a072-18778b543919	4	68544506	68548225	8	-0.1278
1f165549-2cff-46de-a072-18778b543919	4	68554305	68620261	44	-1.5871
1f165549-2cff-46de-a072-18778b543919	4	68623617	114254167	27624	0.1107
1f165549-2cff-46de-a072-18778b543919	4	114254188	114261019	22	0.7847
1f165549-2cff-46de-a072-18778b543919	4	114263073	121225359	4222	0.1233
1f165549-2cff-46de-a072-18778b543919	4	121227846	121228035	2	-1.6908
1f165549-2cff-46de-a072-18778b543919	4	121230404	135760686	8163	0.1195
1f165549-2cff-46de-a072-18778b543919	4	135761463	135764369	3	-2.717
1f165549-2cff-46de-a072-18778b543919	4	135767791	151868241	9619	0.1187
1f165549-2cff-46de-a072-18778b543919	4	151868634	151871415	13	-0.854
1f165549-2cff-46de-a072-18778b543919	4	151871739	160950630	5835	0.1279
1f165549-2cff-46de-a072-18778b543919	4	160950700	160963971	41	0.5097
1f165549-2cff-46de-a072-18778b543919	4	160964013	171448195	6640	0.1143
1f165549-2cff-46de-a072-18778b543919	4	171453733	171456625	12	-0.6382
1f165549-2cff-46de-a072-18778b543919	4	171459220	172066777	394	0.091
1f165549-2cff-46de-a072-18778b543919	4	172067997	172074828	13	0.8215
1f165549-2cff-46de-a072-18778b543919	4	172075742	172507320	231	0.0964
1f165549-2cff-46de-a072-18778b543919	4	172507437	172507492	2	1.4862
1f165549-2cff-46de-a072-18778b543919	4	172519981	184886610	8343	0.1202
1f165549-2cff-46de-a072-18778b543919	4	184888071	184973501	66	-0.139
1f165549-2cff-46de-a072-18778b543919	4	184974083	190106768	3397	0.1178
1f165549-2cff-46de-a072-18778b543919	5	15532	685633	306	0.0079
1f165549-2cff-46de-a072-18778b543919	5	698256	825192	45	0.5498
1f165549-2cff-46de-a072-18778b543919	5	825538	1936002	600	0.0157
1f165549-2cff-46de-a072-18778b543919	5	1936329	3049782	1008	0.1628
1f165549-2cff-46de-a072-18778b543919	5	3049873	3128740	113	-0.0429
1f165549-2cff-46de-a072-18778b543919	5	3129378	15718383	10060	0.1386
1f165549-2cff-46de-a072-18778b543919	5	15719113	15720488	11	-0.5951
1f165549-2cff-46de-a072-18778b543919	5	15723237	59974728	25026	0.1177
1f165549-2cff-46de-a072-18778b543919	5	59976448	59983826	11	-0.6499
1f165549-2cff-46de-a072-18778b543919	5	59986488	156048095	58622	0.12
1f165549-2cff-46de-a072-18778b543919	5	156049762	156073982	18	-0.5272
1f165549-2cff-46de-a072-18778b543919	5	156075169	180779256	16465	0.1168
1f165549-2cff-46de-a072-18778b543919	5	180781850	181363319	281	0.0233
1f165549-2cff-46de-a072-18778b543919	6	149661	294837	118	-0.8439
1f165549-2cff-46de-a072-18778b543919	6	302306	381149	78	0.1246
