"","ID","chrom","loc.start","loc.end","num.mark","bstat","pval","seg.mean","seg.median"
"1","19a89984-61f0-4f1b-a423-6e73589ad706_noid","chr1",560684,10825000,137,31.8188789088495,2.96797249107468e-219,-0.38,-0.394
"2","19a89984-61f0-4f1b-a423-6e73589ad706_noid","chr1",10875000,185525000,1020,13.7754347095067,1.28270628928044e-40,-0.004,0
"3","19a89984-61f0-4f1b-a423-6e73589ad706_noid","chr1",186025000,200375000,26,12.381500694378,6.33383329106069e-33,-0.332,-0.37
"4","19a89984-61f0-4f1b-a423-6e73589ad706_noid","chr1",200500000,249195311,325,NA,NA,-0.009,0.001
"5","19a89984-61f0-4f1b-a423-6e73589ad706_noid","chr10",105000,12225000,98,32.9296219225475,5.43714328690029e-235,-0.555,-0.479
"6","19a89984-61f0-4f1b-a423-6e73589ad706_noid","chr10",12425000,135462374,698,NA,NA,-0.033,-0.013
"7","19a89984-61f0-4f1b-a423-6e73589ad706_noid","chr11",130000,134873258,881,NA,NA,-0.083,-0.051
"8","19a89984-61f0-4f1b-a423-6e73589ad706_noid","chr12",172870,33875000,205,34.1124309256599,3.28948540721539e-252,-0.609,-0.571
"9","19a89984-61f0-4f1b-a423-6e73589ad706_noid","chr12",34275000,133770948,613,NA,NA,-0.054,-0.024
"10","19a89984-61f0-4f1b-a423-6e73589ad706_noid","chr13",19110000,53600000,223,11.0961224210861,2.05156824008168e-26,-0.588,-0.564
"11","19a89984-61f0-4f1b-a423-6e73589ad706_noid","chr13",54225000,96150000,67,24.1514444040683,1.30253525305554e-126,-1.021,-0.938
"12","19a89984-61f0-4f1b-a423-6e73589ad706_noid","chr13",96275000,115079939,126,NA,NA,-0.069,-0.057
"13","19a89984-61f0-4f1b-a423-6e73589ad706_noid","chr14",19325000,107119770,512,NA,NA,-0.059,-0.038
"14","19a89984-61f0-4f1b-a423-6e73589ad706_noid","chr15",20275000,102410696,549,NA,NA,-0.045,-0.02
"15","19a89984-61f0-4f1b-a423-6e73589ad706_noid","chr16",105000,90222377,609,NA,NA,0.007,0.015
"16","19a89984-61f0-4f1b-a423-6e73589ad706_noid","chr17",25000,63575000,601,18.942320376375,1.96600020573157e-77,0.015,0.028
"17","19a89984-61f0-4f1b-a423-6e73589ad706_noid","chr17",63875000,66275000,18,17.3824255187256,1.86223013939738e-65,-0.501,-0.503
"18","19a89984-61f0-4f1b-a423-6e73589ad706_noid","chr17",66375000,81122605,180,NA,NA,0.015,0.021
"19","19a89984-61f0-4f1b-a423-6e73589ad706_noid","chr18",80000,77983624,227,NA,NA,-0.051,-0.028
"20","19a89984-61f0-4f1b-a423-6e73589ad706_noid","chr19",180000,30175000,329,19.0313281719623,2.44478057520476e-78,0.064,0.072
"21","19a89984-61f0-4f1b-a423-6e73589ad706_noid","chr19",30250000,32450000,9,13.9412355615764,8.54672642449372e-43,-0.524,-0.555
"22","19a89984-61f0-4f1b-a423-6e73589ad706_noid","chr19",33100000,35075000,19,14.3726322373179,8.26573276528551e-45,0.06,0.067
"23","19a89984-61f0-4f1b-a423-6e73589ad706_noid","chr19",35150000,43575000,109,6.88909813545623,3.54117329335404e-10,-0.349,-0.34
"24","19a89984-61f0-4f1b-a423-6e73589ad706_noid","chr19",43800000,44625000,14,7.43598857817672,9.87712400230405e-12,-0.101,-0.084
"25","19a89984-61f0-4f1b-a423-6e73589ad706_noid","chr19",44725000,59084492,224,NA,NA,-0.384,-0.382
"26","19a89984-61f0-4f1b-a423-6e73589ad706_noid","chr2",130000,243026238,1201,NA,NA,-0.578,-0.526
"27","19a89984-61f0-4f1b-a423-6e73589ad706_noid","chr20",155000,62907760,351,NA,NA,0.007,0.009
"28","19a89984-61f0-4f1b-a423-6e73589ad706_noid","chr21",10848948,48084948,153,NA,NA,-0.061,-0.009
"29","19a89984-61f0-4f1b-a423-6e73589ad706_noid","chr22",16373925,51197283,291,NA,NA,0.029,0.032
"30","19a89984-61f0-4f1b-a423-6e73589ad706_noid","chr3",155000,33825000,152,17.4589550853832,8.14894695392554e-66,-0.072,-0.042
"31","19a89984-61f0-4f1b-a423-6e73589ad706_noid","chr3",34750000,75800000,250,9.72206230112179,3.16084553019975e-20,-0.319,-0.31
"32","19a89984-61f0-4f1b-a423-6e73589ad706_noid","chr3",76450000,86025000,10,4.12853196922624,0.000568293519298937,-0.969,-0.809
