"","value"
"chr1-0001",0.0292684901874719
"chr1-0002",0.159104956957888
"chr1-0003",-0.0374348818649446
"chr1-0004",0.0620757314324324
"chr1-0005",0.146065700874129
"chr1-0006",0.113044973099802
"chr1-0007",0.12024521726432
"chr1-0008",0.141818423943282
"chr1-0009",0.0799496952152072
"chr1-0010",0.1543304672251
"chr1-0011",0.173429864698247
"chr1-0012",0.0859183777386553
"chr1-0013",-0.0199598375538348
"chr1-0014",0.0148022497525428
"chr1-0015",0.0611118272744158
"chr1-0016",0.019394378655325
"chr1-0017",0.0108618917056866
"chr1-0018",0.100533276865687
"chr1-0019",0.00634665043324969
"chr1-0020",0.0376429952127971
"chr1-0021",0.0118093365764891
"chr1-0022",-0.0347108562711812
"chr1-0023",-0.0353211611540209
"chr1-0024",-0.0286900708002051
"chr1-0025",0.0588681268595204
"chr1-0026",0.0162120936533056
"chr1-0027",-0.0586971823876443
"chr1-0028",0.0357589474347481
"chr1-0029",0.017416510573181
"chr1-0030",-0.0201520745838417
"chr1-0031",0.0872860745481742
"chr1-0032",0.0385512612237669
"chr1-0033",0.0446034937057853
"chr1-0034",-0.0956931910486277
"chr1-0035",-0.265469905512888
"chr1-0036",-0.217797755773192
"chr1-0037",-0.030268620307192
"chr1-0038",-0.195617608841785
"chr1-0039",-0.096444306448623
"chr1-0040",-0.169316696843425
"chr1-0041",-0.209873443418798
"chr1-0042",-0.0903496110443412
"chr1-0043",-0.197891629667173
"chr1-0044",0.0565860909034964
"chr1-0045",0.0951571049817055
"chr1-0046",-0.0347678707458053
"chr1-0047",-0.00965375789129357
"chr1-0048",0.0485588683161558
"chr1-0049",-0.0198625659018164
"chr1-0050",0.0195184993216456
"chr1-0051",-0.0117811619273148
"chr1-0052",0.0322883610891042
"chr1-0053",0.103048572664497
"chr1-0054",0.0481158539164901
"chr1-0055",-0.0696294913210777
"chr1-0056",-0.120411575380398
"chr1-0057",-0.274757532537377
"chr1-0058",-0.171050082021732
"chr1-0059",-0.252483299675153
"chr1-0060",-0.0865713678698212
"chr1-0061",-0.164371226581103
"chr1-0062",-0.0198260836743816
"chr1-0063",0.0727104785569609
"chr1-0064",0.0301172405565154
"chr1-0065",0.027107617594141
"chr1-0066",0.0456607115730973
"chr1-0067",0.00184881700994712
"chr1-0068",0.00758280274617931
"chr1-0069",0.0808035104192629
"chr1-0070",-0.0690943580646776
"chr1-0071",0.182000885798487
"chr1-0072",-0.014725386339433
"chr1-0073",0.0590181339874073
"chr1-0074",0.0146419258246447
"chr1-0075",-0.0586074454689407
"chr1-0076",0.0151594187094514
"chr1-0077",-0.000433604450676544
"chr1-0078",0.0898157936466087
"chr1-0079",-0.0260046978245927
"chr1-0080",-0.0869101795498061
"chr1-0081",0.0305806651129119
"chr1-0082",-0.0336097608386395
"chr1-0083",0.102617200566018
"chr1-0084",0.0144815880389251
"chr1-0085",-0.003795038927432
"chr1-0086",0.0466186419714405
"chr1-0087",-0.0766681276353564
"chr1-0088",0.0990332814846436
"chr1-0089",0.00156757122856349
"chr1-0090",-0.123403826990962
"chr1-0091",0.0125767229945141
"chr1-0092",0.088628827359079
"chr1-0093",0.0816466828988234
"chr1-0094",-0.0231665308063417
"chr1-0095",-0.0163717999284676
"chr1-0096",0.0210974564846319
"chr1-0097",-0.202496942798044
"chr1-0098",0.0129598486278187
"chr1-0099",-0.177603121278552
"chr1-0100",-0.130119891989196
"chr1-0101",-0.22537432758982
"chr1-0102",0.0433480739656409
"chr1-0103",-0.112822833738541
"chr1-0104",-0.0953707109459372
"chr1-0105",0.0726247533071523
"chr1-0106",0.0466111523769854
"chr1-0107",-0.0125588491666147
"chr1-0108",-0.0185469733725764
"chr1-0109",-0.151186924259187
"chr1-0110",-0.0276670236404099
"chr1-0111",0.0252770163943881
"chr1-0112",-0.295970645097416
"chr1-0113",-0.185552910396752
"chr1-0114",-0.0383359229220418
"chr1-0115",0.0367446873608868
"chr1-0116",-0.286395214183585
"chr1-0117",0.101554895191589
"chr1-0118",-0.142717560487575
"chr1-0119",-0.427304589084643
"chr1-0120",-0.391813189989371
"chr1-0121",-0.163088523921387
"chr1-0122",-0.218798897718682
"chr1-0123",-0.35543498246407
"chr1-0124",0.0443142860561109
"chr1-0125",-0.115607805720303
"chr1-0126",-0.098744887249563
"chr1-0127",-0.0533267912447365
"chr1-0128",-0.172861936971794
"chr1-0129",0.0668643213541534
"chr1-0130",0.108721711663084
"chr1-0131",0.0410124983073004
"chr1-0132",0.0366138586100799
"chr1-0133",0.167691211339808
"chr1-0134",0.0456803361898122
"chr1-0135",-0.0758581412191223
"chr1-0136",-0.00365872758791797
"chr1-0137",-0.0383211598268072
"chr1-0138",-0.00563749677933877
"chr1-0139",0.049735032548768
"chr1-0140",0.0158210756856868
"chr1-0141",0.0306095720892302
"chr1-0142",-0.00375002403539285
"chr1-0143",0.0194726543526249
"chr1-0144",0.0938674917112683
"chr1-0145",-0.0173511338720646
"chr1-0146",-0.111235289352809
"chr1-0147",-0.178903589349539
"chr1-0148",-0.250698726662967
"chr1-0149",0.122260351168417
"chr1-0150",-0.121808229934903
"chr1-0151",-0.0198405188789132
"chr1-0152",-0.0760603576732623
"chr1-0153",-0.202002369443874
"chr1-0154",-0.387935763112548
"chr1-0155",-0.158864617617316
"chr1-0156",-0.307500605537975
"chr1-0157",-0.272625918626804
"chr1-0158",-0.0967610176179279
"chr1-0159",-0.307913813914975
"chr1-0160",-0.0634439653331924
"chr1-0161",-0.250106117794368
"chr1-0162",-0.0305925046853142
"chr1-0163",-0.0550369201707663
"chr1-0164",-0.143627286497592
"chr1-0165",-0.232776529166081
"chr1-0166",-0.0725991677812522
"chr1-0167",0.031443635689182
"chr1-0168",-0.106621218889528
"chr1-0169",-0.0665058292099651
"chr1-0170",0.00576907851749538
"chr1-0171",-0.0714989265256807
"chr1-0172",-0.0210314699733966
"chr1-0173",-0.335970352026881
"chr1-0174",-0.0793218503355282
"chr1-0175",-0.161051512572644
"chr1-0176",-0.244318560720812
"chr1-0177",-0.0480598979338026
"chr1-0178",-0.078582117354282
"chr1-0179",-0.152824826266425
"chr1-0180",0.00763459027336974
"chr1-0181",0.0812978855610413
"chr1-0182",0.498478143232804
"chr1-0183",0.0780899070030392
"chr1-0184",0.166137985133159
"chr1-0185",-0.125894506277466
"chr1-0186",-0.100809630118699
"chr1-0187",0.00360943122157617
"chr1-0188",-0.0998905379522057
"chr1-0189",-0.0126119957465439
"chr1-0190",-0.0204064786054661
"chr1-0191",0.0725925346756117
"chr1-0192",-0.024825020044881
"chr1-0193",-0.0137021009467381
"chr1-0194",-0.0853449216673648
"chr1-0195",-0.129019341421298
"chr1-0196",-0.137752268260253
"chr1-0197",-0.0688177831839075
"chr1-0198",-0.0195018859511775
"chr1-0199",-0.109779976888692
"chr1-0200",-0.159776234620557
"chr1-0201",-0.0923305302823268
"chr1-0202",-0.109744959028394
"chr1-0203",-0.0897799099387918
"chr1-0204",0.0910273159352939
"chr1-0205",-0.0521259807427559
"chr1-0206",0.00986274078220181
"chr1-0207",-0.00676760909412626
"chr1-0208",-0.0194168811722495
"chr1-0209",-0.110560309564654
"chr1-0210",-0.0289497857018065
"chr1-0211",-0.00785607573562451
"chr1-0212",0.072290302213893
"chr1-0213",-0.167401857551754
"chr1-0214",0.0207961583916023
"chr1-0215",-0.273979213490558
"chr1-0216",-0.151106027439947
"chr1-0217",-0.0842032553707507
"chr1-0218",-0.014482995214185
"chr1-0219",0.0760714079307273
"chr1-0220",0.113512960202683
"chr1-0221",-0.0335087307176321
"chr1-0222",0.07033610725794
"chr1-0223",-0.159112557624528
"chr1-0224",-0.136305061807175
"chr1-0225",-0.133049720383349
"chr1-0226",-0.153976975530559
"chr1-0227",-0.0503106657230922
"chr1-0228",-0.0600669388002792
"chr1-0229",-0.0584849087261037
"chr1-0230",-0.132279698159558
"chr1-0231",-0.00596065623787821
"chr1-0232",-0.0828229871865935
"chr1-0233",-0.0995520255506042
"chr1-0234",-0.0120736707773706
"chr1-0235",-0.0524818138546278
"chr1-0236",-0.0830801389141402
"chr1-0237",-0.0430120573317707
"chr1-0238",-0.0730115738290207
"chr1-0239",0.0903543621281207
"chr1-0240",-0.071589888771124
"chr1-0241",-0.0485202518048273
"chr1-0242",-0.0180107477529342
"chr1-0243",0.0252345386622316
"chr1-0244",-0.00306932337337811
"chr1-0245",0.114301749851503
"chr1-0246",0.00179022469906901
"chr1-0247",0.0451529326484822
"chr1-0248",-0.0145766641002182
"chr1-0249",-0.0944923983159468
"chr1-0250",0.0895872577617706
"chr1-0251",-0.0194248437172271
"chr1-0252",0.00736779583672504
"chr1-0253",0.00413747367241757
"chr1-0254",0.00975946591436134
"chr1-0255",0.0392648285389784
"chr1-0256",0.088740881333667
"chr1-0257",0.049671529627435
"chr1-0258",-0.0260811181794747
"chr1-0259",0.0942169546975317
"chr1-0260",0.0490550999469468
"chr1-0261",-0.0517530320361087
"chr1-0262",0.0447818248223351
"chr1-0263",0.0479352807262996
"chr1-0264",-0.09938607164739
"chr1-0265",-0.173892529386783
"chr1-0266",-0.290949701210958
"chr1-0267",-0.230006882007809
"chr1-0268",-0.228353770713433
"chr1-0269",-0.306921479599917
"chr1-0270",-0.131435909741209
"chr1-0271",-0.306557599296071
"chr1-0272",-0.22437082786346
"chr1-0273",-0.242436760444837
"chr1-0274",-0.175809489420386
"chr1-0275",-0.169854042716476
"chr1-0276",-0.130136999668643
"chr1-0277",-0.0640949398262874
"chr1-0278",0.0814658545169818
"chr1-0279",0.0695460099234651
"chr1-0280",-0.0718914495719063
"chr1-0281",-0.110683392038496
"chr1-0282",-0.0751389803895238
"chr1-0283",-0.0207081537589056
"chr1-0284",-0.0203257006763305
"chr1-0285",-0.0362681025770705
"chr1-0286",0.0550002010189792
"chr1-0287",0.0170527222400902
"chr1-0288",0.00510297129555224
"chr1-0289",-0.042051014888519
"chr1-0290",-0.0402994494723242
"chr1-0291",0.00908703839600463
"chr1-0292",-0.155003798131536
"chr1-0293",0.367951619734499
"chr1-0294",0.036435950538093
"chr1-0295",0.0347597016222325
"chr1-0296",0.0184380584257976
"chr1-0297",0.0854822675460465
"chr1-0298",-0.106865466713684
"chr1-0299",-0.0311033416330492
"chr1-0300",-0.0485688770907538
"chr1-0301",-0.053366623669208
"chr1-0302",-0.0933586170593186
"chr1-0303",-0.183461911349264
"chr1-0304",-0.231520278322731
"chr1-0305",-0.069923475579768
"chr1-0306",-0.119230311852893
"chr1-0307",-0.0170339587007384
"chr1-0308",0.001904424348607
"chr1-0309",0.0587195771543742
"chr1-0310",0.106595006629185
"chr1-0311",0.109897469731391
"chr1-0312",-0.0752078352550516
"chr1-0313",0.0388641189712537
"chr1-0314",0.288736824990298
"chr1-0315",0.0528429577602422
"chr1-0316",0.0275373435434271
"chr1-0317",0.28628190558747
"chr1-0318",0.128417702782206
"chr1-0319",-0.0245523172350705
"chr1-0320",-0.0371352936399399
"chr1-0321",-0.023306520749024
"chr1-0322",-0.0474375248434376
"chr1-0323",-0.263901187505706
"chr1-0324",-0.410020980664812
"chr1-0325",-0.1941167541009
"chr1-0326",-0.312474198872288
"chr1-0327",-0.23309444258284
"chr1-0328",-0.2632000879119
"chr1-0329",0.0060364797626485
"chr1-0330",-0.00372667418649494
"chr1-0331",-0.0893867084096159
"chr1-0332",-0.0916050136026257
"chr1-0333",-0.0239553280809317
"chr1-0334",-0.0193809127324803
"chr1-0335",-0.025450454130701
"chr1-0336",-0.297701554811194
"chr1-0337",-0.395711730393645
"chr1-0338",-0.419741424645855
"chr1-0339",-0.252107310505722
"chr1-0340",-0.228122613347954
"chr1-0341",0.0106383177403486
"chr1-0342",-0.0301875388387555
"chr1-0343",-0.0650345341264617
"chr1-0344",0.0467478141712444
"chr1-0345",-0.189365720955626
"chr1-0346",-0.296511405044767
"chr1-0347",0.0497445708054211
"chr1-0348",0.0413206195409871
"chr1-0349",-0.0382476868553536
"chr1-0350",-0.0541452795764745
"chr1-0351",-0.0112902395708288
"chr1-0352",-0.0663740032456425
"chr1-0353",-0.130992724396615
"chr1-0354",0.0886686650750366
"chr1-0355",-0.065212127647492
"chr1-0356",0.0167388427714775
"chr1-0357",-0.038138380696951
"chr1-0358",-0.0380801412582907
"chr1-0359",-0.0154376255949108
"chr1-0360",-0.083140077633777
"chr1-0361",-0.0860207600597282
"chr1-0362",0.0332619819754967
"chr1-0363",-0.193786045624977
"chr1-0364",-0.0161966742055881
"chr1-0365",0.0314601494924299
"chr1-0366",-0.00295088576094554
"chr1-0367",-0.132980418571816
"chr1-0368",-0.0212693889342262
"chr1-0369",-0.23890678766464
"chr1-0370",-0.295190670314958
"chr1-0371",-0.18317377380002
