"ID","chrom","loc.start","loc.end","num.mark","seg.mean","seg.sd","seg.median","seg.mad","pval","lcl","ucl"
"Sample.1","chr1",677994,1460000,43,-0.7336,0.2285,-0.7828,0.1739,4.09212905887465e-225,1435000,1460000
"Sample.1","chr1",1495000,248923211,2304,0.1374,0.1744,0.1374,0.1825,NA,NA,NA
"Sample.1","chr10",70000,131965000,1104,0.045,0.1565,0.0537,0.1546,9.06620480775138e-48,131725000,132010000
"Sample.1","chr10",131985000,133625233,71,-0.2207,0.1179,-0.2226,0.125,NA,NA,NA
"Sample.1","chr11",130000,2935000,109,-0.329,0.1516,-0.3265,0.1575,1.71037491070281e-99,2885000,2975000
"Sample.1","chr11",2950000,78190000,813,-0.0226,0.1384,-0.0246,0.1426,9.28526029868431e-235,78095000,78375000
"Sample.1","chr11",78270000,117755000,233,0.3238,0.1528,0.3169,0.1529,4.30434465681424e-90,117520000,117895000
"Sample.1","chr11",117805000,135013311,214,0.0281,0.1555,0.0364,0.1502,NA,NA,NA
"Sample.1","chr12",55000,131770000,1199,0.0359,0.1872,0.0363,0.1826,2.88535902911811e-32,131315000,131845000
"Sample.1","chr12",131795000,133222655,68,-0.2057,0.1451,-0.2372,0.1346,NA,NA,NA
"Sample.1","chr13",18639053,21770000,36,0.0807,0.1201,0.0953,0.0993,1.02136325746285e-42,21635000,21925000
"Sample.1","chr13",21925000,36940000,121,0.4465,0.1423,0.4485,0.1671,0.0635693099418713,31790000,36940000
"Sample.1","chr13",37025000,37110000,2,0.1434,0.0289,0.1434,0.0303,0.0314222854416496,37110000,37580000
"Sample.1","chr13",37330000,66625000,149,-0.3674,0.2259,-0.3341,0.1526,0,66625000,66625000
"Sample.1","chr13",67040000,110380000,178,0.5814,0.1713,0.6012,0.1895,1.78947877848601e-37,109990000,110585000
"Sample.1","chr13",110440000,114332164,112,0.3167,0.1648,0.3105,0.1535,NA,NA,NA
"Sample.1","chr14",19187179,21735000,33,0.1556,0.1062,0.1764,0.0859,6.02675034768963e-22,21575000,21735000
"Sample.1","chr14",21880000,22530000,12,0.4897,0.0805,0.4851,0.049,3.20860117912769e-46,22530000,22565000
"Sample.1","chr14",22565000,24430000,53,0.0802,0.0907,0.0737,0.0861,5.1600380520046e-31,24405000,24505000
"Sample.1","chr14",24505000,30110000,18,0.391,0.1113,0.4084,0.0998,5.61063220329196e-10,29870000,31230000
"Sample.1","chr14",30420000,37425000,50,0.1223,0.1956,0.1112,0.1534,2.07684419272299e-09,37180000,37425000
"Sample.1","chr14",37595000,38325000,6,-0.3743,0.1048,-0.4028,0.0975,5.27077594876805e-07,38325000,39215000
"Sample.1","chr14",38750000,57160000,94,-0.0174,0.1512,-0.0107,0.1372,4.44872592983361e-113,56935000,57490000
"Sample.1","chr14",57325000,106796859,564,-0.4464,0.1712,-0.4419,0.178,NA,NA,NA
"Sample.1","chr15",20062627,101875595,808,-0.0775,0.1565,-0.0788,0.1647,NA,NA,NA
