"ID","chrom","loc.start","loc.end","num.mark","seg.mean","seg.sd","seg.median","seg.mad","pval","lcl","ucl"
"Sample.1","chr1",717994,10625000,121,-0.1862,0.0739,-0.1755,0.0686,2.35278737387864e-153,10625000,10725000
"Sample.1","chr1",10675000,185825000,802,0.0391,0.0886,0.0563,0.0591,2.63199109494718e-57,185500000,191375000
"Sample.1","chr1",186150000,199450000,18,-0.3278,0.2425,-0.2838,0.2395,2.08496452975699e-41,198025000,199450000
"Sample.1","chr1",200150000,214625000,98,0.0537,0.0587,0.0634,0.0498,1.93802284703019e-12,214450000,216900000
"Sample.1","chr1",214850000,220375000,12,-0.0932,0.096,-0.1128,0.0878,8.81033113574704e-07,217950000,223454468
"Sample.1","chr1",220625000,248898211,137,0.0279,0.0892,0.0496,0.0573,NA,NA,NA
"Sample.1","chr10",55000,38464954,162,-0.3356,0.1423,-0.307,0.1098,1.42430819610667e-39,38225000,42308133
"Sample.1","chr10",42308133,46650000,27,0.0461,0.0889,0.0708,0.0739,6.42776918590248e-30,46450000,46650000
"Sample.1","chr10",47025000,50650000,19,-0.2385,0.0745,-0.2361,0.0596,7.89603659518326e-09,50500000,54275000
"Sample.1","chr10",51175000,67800000,30,-0.5555,0.2116,-0.5372,0.1549,1.60600105494e-24,63425000,67950000
"Sample.1","chr10",67950000,87350000,90,-0.2466,0.1036,-0.2227,0.0937,8.28536043896713e-14,87100000,88700000
"Sample.1","chr10",87575000,90325000,11,-0.5397,0.1903,-0.4524,0.2333,5.67246809298771e-12,89075000,91500000
"Sample.1","chr10",91025000,133620233,264,-0.2667,0.1146,-0.2414,0.1077,NA,NA,NA
"Sample.1","chr11",130000,21475000,162,0.0412,0.0981,0.0627,0.063,4.68253285584376e-15,20250000,23550000
"Sample.1","chr11",22450000,31775000,19,-0.1686,0.1427,-0.1482,0.1339,1.61236949893357e-12,30150000,32475000
"Sample.1","chr11",31925000,50535674,73,0.0331,0.0939,0.0563,0.0543,6.65811131545162e-30,50050000,55700000
"Sample.1","chr11",55037537,56550000,5,-0.572,0.2854,-0.5385,0.3607,2.81553091320835e-39,55975000,56975000
"Sample.1","chr11",56975000,134913311,453,0.0343,0.0966,0.0611,0.0527,NA,NA,NA
"Sample.1","chr12",55000,34534704,149,-0.3516,0.1974,-0.3088,0.1363,2.61612928615296e-06,32025000,38700000
"Sample.1","chr12",37805064,46100000,20,-0.1035,0.1379,-0.1112,0.1497,1.04835862949467e-11,43775000,47450000
"Sample.1","chr12",46300000,70275000,148,0.0524,0.0806,0.0617,0.0654,2.42315786448534e-31,69950000,72075000
"Sample.1","chr12",70475000,91375000,40,-0.2003,0.2047,-0.169,0.2058,7.28924969235812e-52,88325000,91850000
"Sample.1","chr12",91850000,133182655,258,0.0524,0.0654,0.0585,0.0494,NA,NA,NA
"Sample.1","chr13",18554053,53175000,151,-0.3511,0.1437,-0.3235,0.1177,1.4537779646189e-25,52825000,58300000
"Sample.1","chr13",54250000,70975000,11,-0.8779,0.2767,-1.0115,0.092,0.00662095140310782,62600000,75725000
"Sample.1","chr13",72300000,93375000,28,-0.5053,0.3065,-0.4661,0.2462,1.21200854881032e-46,91250000,93925000
"Sample.1","chr13",93925000,114302164,116,0.0089,0.1122,0.0337,0.067,NA,NA,NA
"Sample.1","chr14",18981322,32600000,54,-0.0101,0.1287,0.0242,0.0662,7.55753003191526e-27,31375000,34325000
"Sample.1","chr14",33425000,106841859,332,-0.2925,0.1808,-0.2554,0.1083,NA,NA,NA
"Sample.1","chr15",20062627,101840595,407,0.0327,0.0795,0.0426,0.0589,NA,NA,NA
"Sample.1","chr16",80000,90139173,485,0.0638,0.0596,0.0683,0.043,NA,NA,NA
"Sample.1","chr17",130000,16500000,141,-0.2178,0.0921,-0.2039,0.0876,8.50855047989762e-168,16500000,16600000
"Sample.1","chr17",16600000,40475000,154,0.0525,0.0748,0.0625,0.0539,2.00429357057615e-08,40325000,40475000
"Sample.1","chr17",40650000,41025000,5,-0.1594,0.049,-0.1376,0.035,2.28175823991025e-12,41025000,41100000
"Sample.1","chr17",41100000,68600000,194,0.0653,0.0656,0.0729,0.0455,1.24829171703866e-11,68375000,68600000
"Sample.1","chr17",69050000,71250000,5,-0.1558,0.091,-0.1031,0.0535,3.56072547709828e-26,71250000,71250000
"Sample.1","chr17",72225000,83148721,146,0.0663,0.0425,0.0732,0.0389,NA,NA,NA
"Sample.1","chr18",130000,80181643,168,0.0289,0.078,0.042,0.0634,NA,NA,NA
