Chrom	Chr	Start	End	Width	BAF.Value	BAF.Status	Start.FeatureName	End.FeatureName	Start.FeatureIdx	End.FeatureIdx	Features
chr1	1	834198	114941326	114107129	0.289220672753878	Unbalanced	S-tag199817	S-tag121928	2140	1	2140
chr1	1	115014728	208612749	93598022	0.5	Hetero	S-tag061149	S-tag162425	3710	2141	1570
chr1	1	208825881	210001586	1175706	0.423801497289113	Unbalanced	S-tag207799	S-tag248568	3745	3711	35
chr1	1	210068117	220402403	10334287	0.464348554365219	Unbalanced	S-tag079192	S-tag293211	3934	3746	189
chr1	1	220476572	223308965	2832394	0.433694850225918	Unbalanced	S-tag087455	S-tag181602	3995	3935	61
chr1	1	223447975	225347689	1899715	0.470857599421784	Unbalanced	S-tag296968	S-tag034461	4049	3996	54
chr1	1	225435891	229956480	4520590	0.438418662085678	Unbalanced	S-tag256252	S-tag096643	4214	4050	165
chr1	1	230046794	233338691	3291898	0.467591162288045	Unbalanced	S-tag270558	S-tag089759	4297	4215	83
chr1	1	233356884	235062181	1705298	0.42105525235335	Unbalanced	S-tag175884	S-tag155289	4339	4298	42
chr1	1	235097172	238425028	3327857	0.5	Hetero	S-tag179506	S-tag218807	4388	4340	49
chr1	1	238690302	240403456	1713155	0.431236048297184	Unbalanced	S-tag052289	S-tag116538	4429	4389	41
chr1	1	240613707	241644560	1030854	0.5	Hetero	S-tag275851	S-tag191969	4460	4430	31
chr1	1	241659938	247601357	5941420	0.42980753225996	Unbalanced	S-tag262479	S-tag146348	4611	4461	151
chr1	1	247608910	248897288	1288379	0.404180449408454	Unbalanced	S-tag181528	S-tag093750	4648	4612	37
chr2	2	117690	242048582	241930893	0.5	Hetero	S-tag007317	S-tag182188	9096	4649	4448
chr3	3	96855	78954333	78857479	0.188912999219349	Unbalanced	S-tag068152	S-tag242179	10518	9097	1422
chr3	3	78962148	85387998	6425851	0.19556490740139	Unbalanced	S-tag199745	S-tag299626	10627	10519	109
chr3	3	86411414	197757753	111346340	0.5	Hetero	S-tag215361	S-tag010371	12788	10628	2161
chr4	4	122323	23057538	22935216	0.5	Hetero	S-tag006642	S-tag266133	13183	12789	395
chr4	4	23160661	23424204	263544	0.404067993164062	Unbalanced	S-tag184985	S-tag144136	13192	13184	9
chr4	4	23462730	41462412	17999683	0.372535677413621	Unbalanced	S-tag245892	S-tag141265	13547	13193	355
chr4	4	42225125	49084371	6859247	0.306967110263931	Unbalanced	S-tag114281	S-tag233241	13724	13548	177
chr4	4	52738919	190176475	137437557	0.5	Hetero	S-tag070329	S-tag125636	16398	13725	2674
chr5	5	206290	2489822	2283533	0.5	Hetero	S-tag316105	S-tag079155	16454	16399	56
chr5	5	2630823	11358192	8727370	0.472263192509229	Unbalanced	S-tag267405	S-tag257802	16636	16455	182
chr5	5	11368864	12616305	1247442	0.428097381869952	Unbalanced	S-tag092343	S-tag075262	16663	16637	27
chr5	5	12998006	20247455	7249450	0.469438964335236	Unbalanced	S-tag159847	S-tag026425	16822	16664	159
chr5	5	20256973	180626505	160369533	0.5	Hetero	S-tag268291	S-tag244401	20080	16823	3258
chr6	6	211182	6918126	6706945	0.182900040441711	Unbalanced	S-tag276413	S-tag093653	20229	20081	149
chr6	6	7377003	8284909	907907	0.216966419098775	Unbalanced	S-tag118040	S-tag119273	20259	20230	30
chr6	6	10237110	39074535	28837426	0.18160828092295	Unbalanced	S-tag282466	S-tag133525	20718	20260	459
chr6	6	39091803	57411649	18319847	0.189578949136701	Unbalanced	S-tag190342	S-tag304060	21078	20719	360
chr6	6	57608708	116009383	58400676	0.5	Hetero	S-tag140044	S-tag014828	22209	21079	1131
chr6	6	116088538	116854366	765829	0.450091311225185	Unbalanced	S-tag129341	S-tag257515	22236	22210	27
chr6	6	116875493	170614556	53739064	0.5	Hetero	S-tag030450	S-tag305441	23470	22237	1234
chr7	7	110488	15378769	15268282	0.191697415265194	Unbalanced	S-tag289163	S-tag216443	23748	23471	278
chr7	7	15399672	17142276	1742605	0.21973097357485	Unbalanced	S-tag210628	S-tag113333	23793	23749	45
chr7	7	17160612	54510121	37349510	0.195275270236457	Unbalanced	S-tag291713	S-tag211210	24494	23794	701
chr7	7	54767521	141710865	86943345	0.5	Hetero	S-tag225215	S-tag049140	26011	24495	1517
chr7	7	142205512	148639448	6433937	0.345649970980252	Unbalanced	S-tag298414	S-tag185454	26096	26012	85
chr7	7	148673365	149583591	910227	0.382829105086625	Unbalanced	S-tag121986	S-tag002637	26118	26097	22
chr7	7	149975372	151005056	1029685	0.313500572773814	Unbalanced	S-tag183978	S-tag314633	26143	26119	25
chr7	7	151016648	157145431	6128784	0.345455020427817	Unbalanced	S-tag280779	S-tag016915	26275	26144	132
chr7	7	157192943	159118443	1925501	0.346691310405731	Unbalanced	S-tag194867	S-tag164900	26322	26276	47
chr8	8	189030	46988337	46799308	0.5	Hetero	S-tag187347	S-tag160453	27506	26323	1184
chr8	8	47006152	47929226	923075	0.410709545530122	Unbalanced	S-tag248728	S-tag203750	27535	27507	29
chr8	8	47947701	110259093	62311393	0.374252908520385	Unbalanced	S-tag054145	S-tag011755	29019	27536	1484
chr8	8	110290036	116086438	5796403	0.368752778003723	Unbalanced	S-tag107404	S-tag286704	29223	29020	204
chr8	8	116195862	135019276	18823415	0.373406521151483	Unbalanced	S-tag239030	S-tag011511	29720	29224	497
chr8	8	135252183	142488553	7236371	0.384174140907688	Unbalanced	S-tag201719	S-tag298540	29884	29721	164
chr8	8	142508019	145033734	2525716	0.369546702413848	Unbalanced	S-tag179266	S-tag063462	29950	29885	66
chr9	9	204738	8557264	8352527	0.179573061631963	Unbalanced	S-tag285604	S-tag053856	30137	29951	187
chr9	9	8634437	10076680	1442244	0.225009364741189	Unbalanced	S-tag212813	S-tag096563	30165	30138	28
