Chrom	Chr	Start	End	Width	BAF.Value	BAF.Status	Start.FeatureName	End.FeatureName	Start.FeatureIdx	End.FeatureIdx	Features
chr1	1	754192	7748525	6994334	0.200741617354327	Unbalanced	S-tag133716	S-tag114934	169	1	169
chr1	1	7798793	10629562	2830770	0.198723773871149	Unbalanced	S-tag129495	S-tag239191	253	170	84
chr1	1	10650344	19435432	8785089	0.189780019244638	Unbalanced	S-tag041657	S-tag245784	460	254	207
chr1	1	19455205	21960120	2504916	0.177869060395739	Unbalanced	S-tag203655	S-tag072173	534	461	74
chr1	1	21988622	29732223	7743602	0.198467638976272	Unbalanced	S-tag302521	S-tag322008	745	535	211
chr1	1	29736216	31424889	1688674	0.21726744659245	Unbalanced	S-tag272955	S-tag125698	785	746	40
chr1	1	31494475	35363186	3868712	0.182847392355865	Unbalanced	S-tag125332	S-tag139513	903	786	118
chr1	1	35373374	38941104	3567731	0.206590385644752	Unbalanced	S-tag078744	S-tag021794	954	904	51
chr1	1	39092449	76383049	37290601	0.37535579707421	Unbalanced	S-tag130177	S-tag127146	1763	955	809
chr1	1	76658494	77700723	1042230	0.46836631918973	Unbalanced	S-tag243895	S-tag130756	1782	1764	19
chr1	1	77740787	77886499	145713	0.444138454066383	Unbalanced	S-tag301723	S-tag316537	1791	1783	9
chr1	1	77895554	85230072	7334519	0.371756334523992	Unbalanced	S-tag122982	S-tag105531	1901	1792	110
chr1	1	85234932	85779393	544462	0.330033069024032	Unbalanced	S-tag289542	S-tag050445	1923	1902	22
chr1	1	85785751	87755852	1970102	0.356528119118982	Unbalanced	S-tag161725	S-tag260859	1961	1924	38
chr1	1	87769271	92573670	4804400	0.37732196354866	Unbalanced	S-tag240692	S-tag322543	2086	1962	125
chr1	1	93160902	97990575	4829674	0.5	Hetero	S-tag177018	S-tag322130	2176	2087	90
chr1	1	98846773	100380037	1533265	0.374561685315587	Unbalanced	S-tag071620	S-tag249334	2209	2177	33
chr1	1	100672060	110210671	9538612	0.5	Hetero	S-tag000793	S-tag268052	2443	2210	234
chr1	1	110277403	111158530	881128	0.388778382732022	Unbalanced	S-tag228388	S-tag119363	2474	2444	31
chr1	1	111392311	111575921	183611	0.451165606578191	Unbalanced	S-tag302754	S-tag299867	2480	2475	6
chr1	1	111586634	152134136	40547503	0.5	Hetero	S-tag149824	S-tag117812	2798	2481	318
chr1	1	152360184	155239624	2879441	0.374060365591156	Unbalanced	S-tag114158	S-tag202544	2887	2799	89
chr1	1	155273869	155960513	686645	0.346891042590141	Unbalanced	S-tag034012	S-tag170672	2907	2888	20
chr1	1	155983648	172219995	16236348	0.379612291263322	Unbalanced	S-tag199103	S-tag169289	3438	2908	531
chr1	1	172224479	176164617	3940139	0.393618521337606	Unbalanced	S-tag306179	S-tag055070	3536	3439	98
chr1	1	176184056	208458908	32274853	0.379960560928638	Unbalanced	S-tag070624	S-tag281091	4401	3537	865
