"","Sample","Chromosome","bp.Start","bp.End","Num.of.Markers","Mean"
"1","Sample.1","chr1",792994,248473211,230,0.00180782459265627
"2","Sample.1","chr10",505000,133345233,132,0.00970782459265626
"3","Sample.1","chr11",530000,134538311,128,-0.00389217540734373
"4","Sample.1","chr12",505000,133132655,133,0.00840782459265627
"5","Sample.1","chr13",18704053,114177164,98,-0.0240921754073437
"6","Sample.1","chr14",19805857,98500000,78,-0.0194921754073437
"7","Sample.1","chr14",99500000,106441859,8,0.0892078245926563
"8","Sample.1","chr15",20232279,101490595,84,0.0197078245926563
"9","Sample.1","chr16",505000,4500000,5,0.182607824592656
"10","Sample.1","chr16",5500000,86500000,71,0.0463078245926563
"11","Sample.1","chr16",87500000,90114173,4,0.175607824592656
"12","Sample.1","chr17",254094,79500000,77,0.0535078245926563
"13","Sample.1","chr17",80500000,83123721,5,0.189407824592656
"14","Sample.1","chr18",505000,80131643,75,0.00540782459265626
"15","Sample.1","chr19",530000,58303808,57,0.109507824592656
"16","Sample.1","chr2",505000,242091765,238,-0.00349217540734373
"17","Sample.1","chr20",533168,64167084,62,0.0348078245926563
"18","Sample.1","chr21",10569444,42500000,31,-0.00999217540734373
"19","Sample.1","chr21",43106231,46349992,5,0.180807824592656
"20","Sample.1","chr22",16657005,50391917,36,0.0788078245926563
"21","Sample.1","chr3",505000,198117780,194,-0.0150921754073437
"22","Sample.1","chr4",505000,8398739,10,0.126607824592656
"23","Sample.1","chr4",9661458,190061561,176,-0.0347921754073437
"24","Sample.1","chr5",505000,181239130,179,-0.0156921754073437
"25","Sample.1","chr6",530000,170372990,165,-0.0358921754073437
"26","Sample.1","chr7",123923,6500000,8,0.133807824592656
"27","Sample.1","chr7",7500000,54500000,48,-0.0417921754073437
"28","Sample.1","chr7",55500000,77500000,18,0.0806078245926563
"29","Sample.1","chr7",78500000,159167987,81,-0.0293921754073437
"30","Sample.1","chr8",530000,145039318,144,-0.0246921754073437
"31","Sample.1","chr9",505000,138167359,107,0.0161078245926563
"32","Sample.1","chrX",2568744,155515448,135,0.520207824592656
"33","Sample.1","chrY",4568744,20998668,9,-3.70809217540734
