"","ID","chrom","loc.start","loc.end","num.mark","bstat","pval","seg.mean","seg.median"
"1","2025073005_R04C01","chr1",760684,249149416,227,NA,NA,-0.027,0.005
"2","2025073005_R04C01","chr10",530000,135262374,133,NA,NA,-0.408,-0.351
"3","2025073005_R04C01","chr11",530000,56500000,48,12.2233958937086,2.24497724482762e-32,-0.436,-0.359
"4","2025073005_R04C01","chr11",57500000,134473258,75,NA,NA,-0.023,0.013
"5","2025073005_R04C01","chr12",572870,133420948,130,NA,NA,-0.084,-0.043
"6","2025073005_R04C01","chr13",19510000,24500000,6,5.04086109581972,1.27702205663581e-05,-0.12,-0.127
"7","2025073005_R04C01","chr13",25500000,71000000,43,8.24115871940967,9.84235089802426e-15,-0.686,-0.633
"8","2025073005_R04C01","chr13",72500000,115054939,40,NA,NA,-0.238,-0.17
"9","2025073005_R04C01","chr14",19500000,107144770,82,NA,NA,-0.112,-0.076
"10","2025073005_R04C01","chr15",20447317,102260696,86,NA,NA,-0.029,0.002
"11","2025073005_R04C01","chr16",530000,31500000,33,14.3097509457894,1.24699374922245e-44,0.096,0.117
"12","2025073005_R04C01","chr16",32500000,84500000,40,6.77342539709358,4.20744170693788e-10,-0.345,-0.304
"13","2025073005_R04C01","chr16",85500000,90147377,7,NA,NA,0.07,0.056
"14","2025073005_R04C01","chr17",148313,81097605,86,NA,NA,0.061,0.094
"15","2025073005_R04C01","chr18",505000,78008624,61,NA,NA,-0.049,-0.022
"16","2025073005_R04C01","chr19",530000,20261708,23,11.8873211397383,7.16846464553809e-31,0.182,0.189
"17","2025073005_R04C01","chr19",20786708,59059492,37,NA,NA,-0.101,-0.113
"18","2025073005_R04C01","chr2",505000,92163086,87,13.4347767959782,6.02779875905791e-39,-0.452,-0.415
"19","2025073005_R04C01","chr2",95663086,242551238,143,NA,NA,-0.116,-0.04
"20","2025073005_R04C01","chr20",530000,62482760,59,NA,NA,0.262,0.254
"21","2025073005_R04C01","chr21",10848948,48059948,29,NA,NA,-0.043,0.011
"22","2025073005_R04C01","chr22",16373925,51122283,38,NA,NA,0.21,0.211
"23","2025073005_R04C01","chr3",530000,197481215,187,NA,NA,-0.082,-0.028
"24","2025073005_R04C01","chr4",505000,57500000,51,11.7102175390532,5.85356436513157e-30,-0.116,-0.034
"25","2025073005_R04C01","chr4",58869667,72500000,9,12.5516757193442,3.63172287688675e-34,-1.025,-0.84
"26","2025073005_R04C01","chr4",73500000,190522138,107,NA,NA,-0.143,-0.119
"27","2025073005_R04C01","chr5",505000,18290329,19,6.55699276461135,1.21829545140743e-09,-0.042,0.03
"28","2025073005_R04C01","chr5",19500000,30000000,10,10.8613327139778,1.80659480642586e-25,-0.523,-0.506
"29","2025073005_R04C01","chr5",31500000,180452630,139,NA,NA,0.028,0.038
"30","2025073005_R04C01","chr6",530000,170692520,160,NA,NA,-0.113,-0.077
"31","2025073005_R04C01","chr7",121242,158564332,158,NA,NA,-0.128,-0.086
"32","2025073005_R04C01","chr8",505000,146152011,138,NA,NA,-0.025,-0.011
"33","2025073005_R04C01","chr9",505000,141076716,97,NA,NA,0.038,0.061
