Chrom	Chr	Start	End	Width	BAF.Value	BAF.Status	Start.FeatureName	End.FeatureName	Start.FeatureIdx	End.FeatureIdx	Features
chr1	1	887560	9526979	8639420	0.5	Hetero	S-tag021073	S-tag120835	259	1	259
chr1	1	10581658	33134774	22553117	0.362134337598651	Unbalanced	S-tag287560	S-tag133609	846	260	587
chr1	1	33152342	121236110	88083769	0.358617244150416	Unbalanced	S-tag077084	S-tag323549	2860	847	2014
chr1	1	144935753	248897288	103961536	0.5	Hetero	S-tag134664	S-tag093750	5481	2861	2621
chr2	2	2292283	18098857	15806575	0.151967309159075	Unbalanced	S-tag204115	S-tag209411	5524	5482	43
chr2	2	18192270	24063243	5870974	0.301183430658233	Unbalanced	S-tag200889	S-tag157325	5648	5525	124
chr2	2	24085606	25902823	1817218	0.284784200376478	Unbalanced	S-tag036663	S-tag001275	5706	5649	58
chr2	2	25923407	44865678	18942272	0.304637323095374	Unbalanced	S-tag327135	S-tag212973	6217	5707	511
chr2	2	44948184	76385773	31437590	0.359112754282306	Unbalanced	S-tag239497	S-tag275955	6876	6218	659
chr2	2	76387187	76943863	556677	0.35294555845084	Unbalanced	S-tag139659	S-tag076292	6903	6877	27
chr2	2	76961427	156243867	79282441	0.356552528276308	Unbalanced	S-tag277099	S-tag102880	8369	6904	1466
chr2	2	156541170	174763936	18222767	0.5	Hetero	S-tag007640	S-tag178001	8652	8370	283
chr2	2	174793940	175290645	496706	0.437580140928427	Unbalanced	S-tag321912	S-tag174936	8664	8653	12
chr2	2	175311629	242110786	66799158	0.357026362373802	Unbalanced	S-tag010509	S-tag267479	10255	8665	1591
chr3	3	179527	1936873	1757347	0.476351154763784	Unbalanced	S-tag005388	S-tag042032	10297	10256	42
chr3	3	2036052	3690944	1654893	0.35690518472592	Unbalanced	S-tag327005	S-tag157805	10354	10298	57
chr3	3	3749037	3943186	194150	0.453005785743395	Unbalanced	S-tag287875	S-tag319935	10360	10355	6
chr3	3	3972465	59762033	55789569	0.5	Hetero	S-tag099227	S-tag298337	11669	10361	1309
chr3	3	59778003	59989782	211780	0.456551626000553	Unbalanced	S-tag093336	S-tag171063	11685	11670	16
chr3	3	59991608	97976576	37984969	0.5	Hetero	S-tag126345	S-tag045238	12547	11686	862
chr3	3	98087516	98433611	346096	0.438776649534702	Unbalanced	S-tag008672	S-tag069376	12555	12548	8
chr3	3	98977817	103843536	4865720	0.357590449127284	Unbalanced	S-tag310003	S-tag235450	12665	12556	110
chr3	3	103866190	129300291	25434102	0.369931711165801	Unbalanced	S-tag196778	S-tag165773	13240	12666	575
chr3	3	130244120	139037175	8793056	0.357431554744224	Unbalanced	S-tag276125	S-tag085020	13478	13241	238
chr3	3	139049804	160376851	21327048	0.370083592933702	Unbalanced	S-tag193927	S-tag147070	14020	13479	542
chr3	3	160391659	175563633	15171975	0.358979548904571	Unbalanced	S-tag059646	S-tag104846	14350	14021	330
chr3	3	175681864	177623785	1941922	0.5	Hetero	S-tag265279	S-tag134636	14406	14351	56
chr3	3	177647728	185544309	7896582	0.366683815308401	Unbalanced	S-tag121089	S-tag273366	14590	14407	184
chr3	3	185565723	191874771	6309049	0.355608250845519	Unbalanced	S-tag069214	S-tag208610	14716	14591	126
chr3	3	192263633	193804239	1540607	0.5	Hetero	S-tag238561	S-tag008966	14766	14717	50
chr3	3	193931852	194291805	359954	0.43325970073541	Unbalanced	S-tag241639	S-tag015056	14772	14767	6
chr3	3	194433033	197815437	3382405	0.355996961392375	Unbalanced	S-tag002025	S-tag189370	14857	14773	85
chr4	4	360026	48994138	48634113	0.5	Hetero	S-tag102409	S-tag327419	15911	14858	1054
chr4	4	52684891	62850522	10165632	0.358101806694404	Unbalanced	S-tag165730	S-tag103355	16177	15912	266
chr4	4	62859511	83910712	21051202	0.362292329777935	Unbalanced	S-tag263679	S-tag023877	16660	16178	483
chr4	4	83929394	85678624	1749231	0.376447141804594	Unbalanced	S-tag127246	S-tag326898	16707	16661	47
chr4	4	85729936	86782978	1053043	0.355944534808196	Unbalanced	S-tag260846	S-tag144423	16744	16708	37
chr4	4	86874328	88340969	1466642	0.374501981397056	Unbalanced	S-tag016552	S-tag015844	16798	16745	54
chr4	4	88395385	93405850	5010466	0.358230797273497	Unbalanced	S-tag150967	S-tag025920	16922	16799	124
chr4	4	94284926	190122470	95837545	0.5	Hetero	S-tag204148	S-tag219781	18803	16923	1881
chr5	5	40329	15674635	15634307	0.372005932818124	Unbalanced	S-tag242076	S-tag074108	19174	18804	371
chr5	5	15723633	43767675	28044043	0.5	Hetero	S-tag005352	S-tag131273	19825	19175	651
chr5	5	50275479	79637799	29362321	0.371476477459479	Unbalanced	S-tag282869	S-tag100529	20485	19826	660
chr5	5	79653141	90425042	10771902	0.365111037571311	Unbalanced	S-tag225751	S-tag283543	20735	20486	250
chr5	5	90601290	91294315	693026	0.466837842356075	Unbalanced	S-tag207638	S-tag071320	20746	20736	11
chr5	5	91322648	144971610	53648963	0.5	Hetero	S-tag140849	S-tag303300	22001	20747	1255
chr5	5	145163850	149518025	4354176	0.349963303473133	Unbalanced	S-tag006730	S-tag190489	22105	22002	104
chr5	5	149549022	153509596	3960575	0.368029982400934	Unbalanced	S-tag194502	S-tag204726	22195	22106	90
