"","Cases","Bin_Size","Technology","Accuracy","CNVAccuracy"
"1",9202,10000,"MethylMaster",0,0.979499675307191
"2",9203,10000,"MethylMaster",0,0.979329112845432
"3",9327,10000,"MethylMaster",0,0.559123239989711
"4",9328,10000,"MethylMaster",0,0.279223585567512
"5",9337,10000,"MethylMaster",0,0.753199252351479
"6",9338,10000,"MethylMaster",0,0.20291507313676
"7",9350,10000,"MethylMaster",0,0.204268718838209
"8",9353,10000,"MethylMaster",0,0.330204805338975
"9",9354,10000,"MethylMaster",0,0.478258048569522
"10",9355,10000,"MethylMaster",0,0.351102082533425
"11",9356,10000,"MethylMaster",0,0.556178222636719
"12",9357,10000,"MethylMaster",0,0.524700632263096
"13",9358,10000,"MethylMaster",0,0.542088927753297
"14",9202,50000,"MethylMaster",0,0.979788244981554
"15",9203,50000,"MethylMaster",0,0.979308433742894
"16",9327,50000,"MethylMaster",0,0.562606852578179
"17",9328,50000,"MethylMaster",0,0.284135934875314
"18",9337,50000,"MethylMaster",0,0.770044123618778
"19",9338,50000,"MethylMaster",0,0.188299693927338
"20",9350,50000,"MethylMaster",0,0.20272607024958
"21",9353,50000,"MethylMaster",0,0.437303689618036
"22",9354,50000,"MethylMaster",0,0.476770208221304
"23",9355,50000,"MethylMaster",0,0.445042487695987
"24",9356,50000,"MethylMaster",0,0.533300534276537
"25",9357,50000,"MethylMaster",0,0.565613704584498
"26",9358,50000,"MethylMaster",0,0.555345653160231
"27",9202,1e+05,"MethylMaster",0,0.976864293873093
"28",9203,1e+05,"MethylMaster",0,0.976917338873762
"29",9327,1e+05,"MethylMaster",0,0.578096560679875
"30",9328,1e+05,"MethylMaster",0,0.283918305104698
"31",9337,1e+05,"MethylMaster",0,0.765329871765955
"32",9338,1e+05,"MethylMaster",0,0.223250564033863
"33",9350,1e+05,"MethylMaster",0,0.217663839331046
"34",9353,1e+05,"MethylMaster",0,0.437836509797817
"35",9354,1e+05,"MethylMaster",0,0.468529749103568
"36",9355,1e+05,"MethylMaster",0,0.41501730490962
"37",9356,1e+05,"MethylMaster",0,0.569876665681029
"38",9357,1e+05,"MethylMaster",0,0.619931033692196
"39",9358,1e+05,"MethylMaster",0,0.554106154169993
"40",9202,1e+06,"MethylMaster",0,0.98321401069871
"41",9203,1e+06,"MethylMaster",0,0.991107101613749
"42",9327,1e+06,"MethylMaster",0,0.577811437662882
"43",9328,1e+06,"MethylMaster",0,0.276177764976173
"44",9337,1e+06,"MethylMaster",0,0.789551259433362
"45",9338,1e+06,"MethylMaster",0,0.192343840161278
"46",9350,1e+06,"MethylMaster",0,0.203330745360843
"47",9353,1e+06,"MethylMaster",0,0.462933277223625
"48",9354,1e+06,"MethylMaster",0,0.832048007987753
"49",9355,1e+06,"MethylMaster",0,0.425906262638443
"50",9356,1e+06,"MethylMaster",0,0.655704881411108
"51",9357,1e+06,"MethylMaster",0,0.475505170618123
