"ID","chrom","loc.start","loc.end","num.mark","seg.mean","seg.sd","seg.median","seg.mad","pval","lcl","ucl"
"Sample.1","chr1",717994,20675000,213,-0.215,0.0767,-0.203,0.0753,2.55739910371989e-21,20625000,20950000
"Sample.1","chr1",20725000,21350000,5,-0.5325,0.1971,-0.6044,0.042,8.22181006311777e-15,21200000,21350000
"Sample.1","chr1",21450000,26800000,51,-0.2105,0.0676,-0.2001,0.0707,9.4844776288223e-49,26700000,26975000
"Sample.1","chr1",26875000,185500000,653,-0.0134,0.0915,0.0048,0.0749,1.18766794521145e-32,184950000,188550000
"Sample.1","chr1",185825000,200350000,21,-0.2738,0.1756,-0.2474,0.1723,7.47741128925435e-48,198775000,200625000
"Sample.1","chr1",200625000,247875000,239,0.013,0.0722,0.0174,0.0636,6.4376962687714e-08,247725000,248725000
"Sample.1","chr1",248000000,248898211,6,-0.1825,0.205,-0.1656,0.2712,NA,NA,NA
"Sample.1","chr10",55000,133620233,603,-0.0595,0.1134,-0.0363,0.1011,NA,NA,NA
"Sample.1","chr11",130000,21475000,162,0.0014,0.094,0.0212,0.0579,2.46712017891443e-12,20075000,23100000
"Sample.1","chr11",22450000,31550000,18,-0.1776,0.1043,-0.1656,0.0757,9.46045813400364e-11,30150000,32700000
"Sample.1","chr11",31775000,50535674,74,0.0041,0.0972,0.0311,0.0596,7.10877157749463e-25,50050000,55700000
"Sample.1","chr11",55037537,56550000,5,-0.544,0.26,-0.485,0.2759,4.54809970503737e-62,56550000,56550000
"Sample.1","chr11",56975000,71475000,170,0.0286,0.0642,0.0381,0.041,4.72754070592787e-23,71425000,71575000
"Sample.1","chr11",71525000,72300000,8,-0.2188,0.1039,-0.2436,0.0896,3.5707790648047e-10,72075000,72625000
"Sample.1","chr11",72475000,88400000,67,-0.0088,0.0799,0.0153,0.0531,3.0017543070074e-28,88151448,88400000
"Sample.1","chr11",88975000,93125000,8,-0.3771,0.1369,-0.3066,0.0503,6.6335019456215e-18,93125000,93400000
"Sample.1","chr11",93400000,118575000,96,-0.0355,0.0996,-0.0061,0.0845,2.21353835991311e-26,118275000,118750000
"Sample.1","chr11",118625000,124350000,40,-0.2528,0.117,-0.2356,0.0903,1.03740816461072e-49,123850000,124650000
"Sample.1","chr11",124650000,134913311,64,0.0129,0.0629,0.0306,0.0547,NA,NA,NA
"Sample.1","chr12",55000,44325000,163,-0.0585,0.1196,-0.0329,0.1033,1.21580286644539e-18,43775000,44325000
"Sample.1","chr12",44950000,46100000,6,-0.5311,0.1936,-0.4338,0.0563,1.68151943905851e-09,45125000,46575000
"Sample.1","chr12",46300000,61275000,122,-0.2545,0.0938,-0.2406,0.0963,2.05794409203497e-108,59975000,63025000
"Sample.1","chr12",62200000,133182655,324,-0.0196,0.1114,0.0091,0.0772,NA,NA,NA
"Sample.1","chr13",18554053,48150000,127,-0.3952,0.1357,-0.3897,0.1257,2.45599998509654e-67,48150000,48400000
"Sample.1","chr13",48400000,50975000,13,-1.1705,0.2672,-1.1797,0.2899,5.91326936020421e-22,50850000,50975000
"Sample.1","chr13",51150000,53175000,11,-0.3295,0.112,-0.3225,0.0757,0.000392337887462797,52825000,66600000
"Sample.1","chr13",54250000,93925000,40,-0.6348,0.2284,-0.6533,0.2307,6.15576932060288e-06,78225000,95575000
"Sample.1","chr13",94450000,108775000,50,-0.4199,0.1616,-0.3941,0.126,6.06797618170692e-98,108775000,108775000
"Sample.1","chr13",109150000,114302164,65,0.0281,0.0494,0.0325,0.041,NA,NA,NA
"Sample.1","chr14",18981322,22175000,20,-0.4191,0.1561,-0.3964,0.1262,2.75134021615365e-170,22175000,22175000
"Sample.1","chr14",22525000,106841859,366,0.1981,0.0918,0.2087,0.0577,NA,NA,NA
"Sample.1","chr15",20062627,101840595,407,-0.009,0.0787,-0.0012,0.0623,NA,NA,NA
"Sample.1","chr16",80000,31975000,219,0.0384,0.0441,0.0416,0.0415,1.55130318531718e-33,31775000,32550000
"Sample.1","chr16",32200000,46490341,12,-0.1348,0.0856,-0.1282,0.0806,1.83947973122323e-16,35375000,46725000
"Sample.1","chr16",46625000,90139173,254,0.0259,0.0608,0.0316,0.0456,NA,NA,NA
"Sample.1","chr17",130000,11000000,118,-0.2272,0.0845,-0.2183,0.0779,2.83680109434579e-290,11000000,11000000
"Sample.1","chr17",11375000,20700000,63,0.2095,0.0595,0.2081,0.0484,3.85656172779717e-69,20425000,20950000
"Sample.1","chr17",20875000,58575000,255,0.0257,0.0761,0.0347,0.0609,1.40176343737039e-22,58425000,58575000
"Sample.1","chr17",58700000,59775000,7,-0.2737,0.0824,-0.2542,0.0447,1.21059060394619e-24,59775000,59775000
"Sample.1","chr17",59900000,68600000,51,0.0131,0.0656,0.0165,0.0699,2.05318056255167e-08,68225000,68600000
"Sample.1","chr17",69050000,71250000,5,-0.1732,0.0527,-0.1461,0.0308,3.16774712537403e-22,71250000,71250000
"Sample.1","chr17",72225000,83148721,146,0.0331,0.0446,0.0369,0.044,NA,NA,NA
"Sample.1","chr18",130000,80181643,168,-0.0139,0.0818,-0.0028,0.0675,NA,NA,NA
