"","Sample","Chromosome","bp.Start","bp.End","Num.of.Markers","Mean"
"1","Sample.1","chr1",747994,248923211,2254,-0.0151192286953397
"2","Sample.1","chr10",125000,133625233,1141,-0.0057192286953397
"3","Sample.1","chr11",145000,50555674,478,-0.0169192286953397
"4","Sample.1","chr11",55167537,56455000,6,-0.30981922869534
"5","Sample.1","chr11",56615000,134993311,860,-0.0147192286953397
"6","Sample.1","chr12",70000,133222655,1234,0.0360807713046603
"7","Sample.1","chr13",18679053,114332164,578,0.0142807713046603
"8","Sample.1","chr14",19770857,36415000,148,-0.0165192286953397
"9","Sample.1","chr14",36515000,37180000,7,-0.27471922869534
"10","Sample.1","chr14",37225000,100925000,516,-0.0009192286953397
"11","Sample.1","chr14",100950000,101025000,6,-0.35401922869534
"12","Sample.1","chr14",101035000,106751859,130,-0.0338192286953397
"13","Sample.1","chr15",20232279,25135000,22,-0.0705192286953397
"14","Sample.1","chr15",25175000,25255000,8,-0.69771922869534
"15","Sample.1","chr15",25350000,89345000,610,-0.0019192286953397
"16","Sample.1","chr15",89365000,89465000,5,-0.31591922869534
"17","Sample.1","chr15",89530000,101850595,125,0.0327807713046603
"18","Sample.1","chr16",40000,90149173,1014,-0.0101192286953397
"19","Sample.1","chr17",130000,83168721,1213,-0.0214192286953397
"20","Sample.1","chr18",135000,37105000,180,0.0578807713046603
"21","Sample.1","chr18",37300000,37540000,5,-0.27001922869534
"22","Sample.1","chr18",37625000,80206643,220,0.0432807713046603
"23","Sample.1","chr19",175000,58588808,1069,8.07713046603008e-05
"24","Sample.1","chr2",110000,242111765,1764,0.0039807713046603
"25","Sample.1","chr20",178168,64292084,638,-0.0014192286953397
"26","Sample.1","chr21",10569444,46679992,257,0.0203807713046603
"27","Sample.1","chr22",16567005,50769234,496,-0.0227192286953397
"28","Sample.1","chr3",115000,198097780,1356,-1.92286953397021e-05
"29","Sample.1","chr4",110000,190066561,1017,0.0147807713046603
"30","Sample.1","chr5",50000,181369130,1233,-0.0093192286953397
"31","Sample.1","chr6",140000,32425000,437,-0.0654192286953397
"32","Sample.1","chr6",32480000,32700000,5,-0.89371922869534
"33","Sample.1","chr6",32750000,170662990,949,-0.0334192286953397
"34","Sample.1","chr7",50000,159247987,1257,-0.0348192286953397
"35","Sample.1","chr8",195000,145039318,1034,-0.0056192286953397
"36","Sample.1","chr9",215000,138187359,710,-0.0247192286953397
"37","Sample.1","chrX",2528744,155645448,534,0.42208077130466
"38","Sample.1","chrY",4728744,21244771,11,-4.04911922869534
