"","ID","chrom","loc.start","loc.end","num.mark","bstat","pval","seg.mean","seg.median"
"1","2025073002_R02C02","chr1",548184,185512500,1346,13.1370836078009,7.50414115111782e-37,0.029,0.032
"2","2025073002_R02C02","chr1",185937500,200487500,28,10.2834486862955,1.41110941241149e-22,-0.312,-0.326
"3","2025073002_R02C02","chr1",200712500,249195311,361,NA,NA,0.017,0.019
"4","2025073002_R02C02","chr10",117500,135462374,908,NA,NA,-0.062,-0.038
"5","2025073002_R02C02","chr11",130000,4662500,110,13.2992326273652,2.30545386250797e-38,-0.105,-0.086
"6","2025073002_R02C02","chr11",4775000,5837500,10,7.03728815412843,1.32744744959653e-10,-0.74,-0.654
"7","2025073002_R02C02","chr11",5962500,20662500,125,6.25685722006196,2.48340399287965e-08,-0.249,-0.236
"8","2025073002_R02C02","chr11",21525000,31662500,24,9.00979524356758,3.97349932415749e-17,-0.561,-0.543
"9","2025073002_R02C02","chr11",31812500,134885758,780,NA,NA,-0.186,-0.141
"10","2025073002_R02C02","chr12",172870,70400000,494,9.75260910556823,3.31662497766917e-20,-0.095,-0.07
"11","2025073002_R02C02","chr12",70825000,92325000,53,18.6772884046594,2.32781492831664e-75,-0.482,-0.41
"12","2025073002_R02C02","chr12",92675000,133758448,385,NA,NA,-0.028,-0.015
"13","2025073002_R02C02","chr13",19135000,21450000,20,8.44084887977923,2.01313836274931e-15,-0.46,-0.412
"14","2025073002_R02C02","chr13",21587500,31750000,77,10.2171655477909,1.11154171500499e-22,-0.078,-0.073
"15","2025073002_R02C02","chr13",31862500,33975000,10,4.40537274241657,0.000278360886625687,-0.675,-0.587
"16","2025073002_R02C02","chr13",34175000,43262500,46,2.98217876731978,0.0528547153406559,-0.069,-0.009
"17","2025073002_R02C02","chr13",43475000,46137500,18,4.78795701682968,7.52458117335849e-05,-0.46,-0.413
"18","2025073002_R02C02","chr13",46350000,94850000,116,12.442214269689,2.65183011454754e-33,-0.806,-0.797
"19","2025073002_R02C02","chr13",95187500,115067439,170,NA,NA,-0.335,-0.329
"20","2025073002_R02C02","chr14",19312500,107119770,588,NA,NA,-0.199,-0.165
"21","2025073002_R02C02","chr15",20237500,102410696,610,NA,NA,-0.003,0.015
"22","2025073002_R02C02","chr16",92500,90222377,773,NA,NA,0.111,0.119
"23","2025073002_R02C02","chr17",25000,81122605,1004,NA,NA,0.014,0.031
"24","2025073002_R02C02","chr18",80000,77971124,245,NA,NA,-0.21,-0.171
"25","2025073002_R02C02","chr19",180000,59096992,934,NA,NA,0.027,-0.008
"26","2025073002_R02C02","chr2",105000,243038738,1322,NA,NA,-0.165,-0.132
"27","2025073002_R02C02","chr20",155000,62920260,400,NA,NA,-0.125,-0.093
"28","2025073002_R02C02","chr21",10848948,48097448,171,NA,NA,0.027,0.077
"29","2025073002_R02C02","chr22",16162500,51209783,337,NA,NA,-0.016,0
"30","2025073002_R02C02","chr3",155000,187912500,914,15.789129664669,1.47101155124742e-53,-0.053,-0.027
"31","2025073002_R02C02","chr3",188000000,191362500,14,8.48216676059682,1.20511718321081e-15,-0.428,-0.449
"32","2025073002_R02C02","chr3",191912500,197893715,63,NA,NA,-0.085,-0.061
"33","2025073002_R02C02","chr4",105000,190984638,774,NA,NA,-0.096,-0.025
"34","2025073002_R02C02","chr5",42500,180790130,911,NA,NA,-0.11,-0.062
"35","2025073002_R02C02","chr6",167500,170965034,1062,NA,NA,-0.234,-0.199
"36","2025073002_R02C02","chr7",55000,77737500,524,15.2378825960062,5.85434420567255e-50,0.092,0.098
"37","2025073002_R02C02","chr7",78062500,86675000,19,13.1848892214369,2.70498873701014e-37,-0.578,-0.633
"38","2025073002_R02C02","chr7",86800000,159039332,506,NA,NA,0.061,0.085
"39","2025073002_R02C02","chr8",105000,87712500,476,6.77234418448015,1.44117034567052e-09,-0.041,-0.03
"40","2025073002_R02C02","chr8",88400000,94112500,17,9.04585167456748,1.95462574452081e-17,-0.415,-0.339
"41","2025073002_R02C02","chr8",94400000,146264511,291,NA,NA,0.056,0.079
"42","2025073002_R02C02","chr9",67500,140989216,384,NA,NA,0.109,0.111
