"","Cases","Bin_Size","Technology","CNVAccuracy"
"1",9312,10000,"MethylMaster",0.914895106422336
"2",9316,10000,"MethylMaster",0.997844392612902
"3",9320,10000,"MethylMaster",0.999621728332542
"4",9322,10000,"MethylMaster",0.998478094250724
"5",10067,10000,"MethylMaster",0.996258196910908
"6",10069,10000,"MethylMaster",0.999183762328772
"7",9314,10000,"MethylMaster",0.999900905121303
"8",10090,10000,"MethylMaster",0.99652211843283
"9",10092,10000,"MethylMaster",0.984518249403993
"10",9312,50000,"MethylMaster",0.898433920455474
"11",9316,50000,"MethylMaster",0.998476899190677
"12",9320,50000,"MethylMaster",0.999658801043667
"13",9322,50000,"MethylMaster",0.998477994109573
"14",10067,50000,"MethylMaster",0.996244874126333
"15",10069,50000,"MethylMaster",0.999184569789376
"16",9314,50000,"MethylMaster",0.999952926759547
"17",10090,50000,"MethylMaster",0.99712523362219
"18",10092,50000,"MethylMaster",0.984552647100985
"19",9312,1e+05,"MethylMaster",0.913558518091079
"20",9316,1e+05,"MethylMaster",0.999014182871394
"21",9320,1e+05,"MethylMaster",0.999694858673303
"22",9322,1e+05,"MethylMaster",0.998477433160511
"23",10067,1e+05,"MethylMaster",0.996034800756897
"24",10069,1e+05,"MethylMaster",0.998678626691022
"25",9314,1e+05,"MethylMaster",0.999952906566398
"26",10090,1e+05,"MethylMaster",0.997856337452494
"27",10092,1e+05,"MethylMaster",0.984589637219466
"28",9312,1e+06,"MethylMaster",0.891472165385789
"29",9316,1e+06,"MethylMaster",0.999892351670934
"30",9320,1e+06,"MethylMaster",0.999694031070202
"31",9322,1e+06,"MethylMaster",0.998246123577311
"32",10067,1e+06,"MethylMaster",0.995271381330985
"33",10069,1e+06,"MethylMaster",0.999767612313837
"34",9314,1e+06,"MethylMaster",0.99995247207931
"35",10090,1e+06,"MethylMaster",0.998852302627764
"36",10092,1e+06,"MethylMaster",0.984657108524336
"37",9312,10000,"Sesame",0.89916645280644
"38",9316,10000,"Sesame",0.998610183151376
"39",9320,10000,"Sesame",0.99949046307604
"40",9322,10000,"Sesame",0.998479125244247
"41",10067,10000,"Sesame",0.996218989216145
"42",10069,10000,"Sesame",0.999390164164837
"43",9314,10000,"Sesame",0.999900824274009
"44",10090,10000,"Sesame",0.996801787296444
"45",10092,10000,"Sesame",0.983553885541852
"46",9312,50000,"Sesame",0.902637773707781
"47",9316,50000,"Sesame",0.998310820586975
"48",9320,50000,"Sesame",0.995581823953079
"49",9322,50000,"Sesame",0.998478880446452
"50",10067,50000,"Sesame",0.997061330380691
"51",10069,50000,"Sesame",0.999344624219024
"52",9314,50000,"Sesame",0.999952926759547
"53",10090,50000,"Sesame",0.997314425513262
"54",10092,50000,"Sesame",0.983552083645889
"55",9312,1e+05,"Sesame",0.891062994994865
"56",9316,1e+05,"Sesame",0.998922529010768
"57",9320,1e+05,"Sesame",0.995575009805607
"58",9322,1e+05,"Sesame",0.998478449268237
"59",10067,1e+05,"Sesame",0.997137140479949
"60",10069,1e+05,"Sesame",0.997798296549938
"61",9314,1e+05,"Sesame",0.999952906566398
"62",10090,1e+05,"Sesame",0.997861362612458
"63",10092,1e+05,"Sesame",0.983548213780645
"64",9312,1e+06,"Sesame",0.956858043106373
"65",9316,1e+06,"Sesame",0.999906621883768
"66",9320,1e+06,"Sesame",0.999694031070202
"67",9322,1e+06,"Sesame",0.998262803964271
"68",10067,1e+06,"Sesame",0.995677052705406
"69",10069,1e+06,"Sesame",0.999770265611895
"70",9314,1e+06,"Sesame",0.99995247207931
"71",10090,1e+06,"Sesame",0.998852302627764
"72",10092,1e+06,"Sesame",0.983656330781238
"73",9312,10000,"Conumee",0.904146994508265
"74",9316,10000,"Conumee",0.99954290171027
"75",9320,10000,"Conumee",0.999506405666945
"76",9322,10000,"Conumee",0.998479950348249
"77",10067,10000,"Conumee",0.995208072296761
"78",10069,10000,"Conumee",0.997535650892805
"79",9314,10000,"Conumee",0.999953338468008
"80",10090,10000,"Conumee",0.996630921994866
"81",10092,10000,"Conumee",0.985052748306792
"82",9312,50000,"Conumee",0.903584606915425
"83",9316,50000,"Conumee",0.999387005892006
"84",9320,50000,"Conumee",0.999229669875587
"85",9322,50000,"Conumee",0.99847966787061
"86",10067,50000,"Conumee",0.995645423253959
"87",10069,50000,"Conumee",0.998397134880451
"88",9314,50000,"Conumee",0.99995333152782
"89",10090,50000,"Conumee",0.998055975814219
"90",10092,50000,"Conumee",0.984999612560663
"91",9312,1e+05,"Conumee",0.906482778583991
"92",9316,1e+05,"Conumee",0.996535750218483
"93",9320,1e+05,"Conumee",0.99964477775569
"94",9322,1e+05,"Conumee",0.998479579493853
"95",10067,1e+05,"Conumee",0.994702794266953
"96",10069,1e+05,"Conumee",0.998774000420592
"97",9314,1e+05,"Conumee",0.999953311680521
"98",10090,1e+05,"Conumee",0.998813559914743
"99",10092,1e+05,"Conumee",0.984994782931371
"100",9312,1e+06,"Conumee",0.95362612329348
"101",9316,1e+06,"Conumee",0.999627187436172
"102",9320,1e+06,"Conumee",0.999644156720981
"103",9322,1e+06,"Conumee",0.998472276366473
"104",10067,1e+06,"Conumee",0.938237481334917
"105",10069,1e+06,"Conumee",0.99977268077991
"106",9314,1e+06,"Conumee",0.99995308601229
"107",10090,1e+06,"Conumee",0.998811017691274
"108",10092,1e+06,"Conumee",0.984894118172529
