"","Sample","Chromosome","bp.Start","bp.End","Num.of.Markers","Mean"
"1","Sample.1","chr1",717994,1475000,14,-0.247096378718347
"2","Sample.1","chr1",1525000,248923211,1926,0.220503621281653
"3","Sample.1","chr10",105000,133620233,1029,-0.0158963787183466
"4","Sample.1","chr11",155000,9075000,121,0.0122036212816534
"5","Sample.1","chr11",9175000,18050000,82,-0.288196378718347
"6","Sample.1","chr11",18125000,18575000,9,-0.625096378718347
"7","Sample.1","chr11",18625000,48925000,174,-0.316196378718347
"8","Sample.1","chr11",49900000,134988311,711,0.226903621281653
"9","Sample.1","chr12",80000,8850000,108,-0.360196378718347
"10","Sample.1","chr12",8925000,132775000,921,0.00970362128165336
"11","Sample.1","chr12",132825000,133207655,8,-0.370896378718347
"12","Sample.1","chr13",18729053,37025000,144,0.283803621281653
"13","Sample.1","chr13",37100000,66625000,138,-0.304896378718347
"14","Sample.1","chr13",67075000,114327164,229,0.441003621281653
"15","Sample.1","chr14",19855857,26375000,65,0.196503621281653
"16","Sample.1","chr14",26675000,30100000,8,0.519403621281653
"17","Sample.1","chr14",30400000,57400000,142,0.0748036212816534
"18","Sample.1","chr14",57500000,106841859,476,-0.380496378718347
"19","Sample.1","chr15",20232279,101840595,694,-0.339996378718347
"20","Sample.1","chr16",55000,31625000,326,-0.487196378718347
"21","Sample.1","chr16",31775000,51275000,57,0.123503621281653
"22","Sample.1","chr16",51500000,59525000,75,-0.431596378718347
"23","Sample.1","chr16",60700000,79000000,145,-0.133696378718347
"24","Sample.1","chr16",79150000,80525000,9,0.135503621281653
"25","Sample.1","chr16",80575000,84575000,46,-0.199496378718347
"26","Sample.1","chr16",84625000,90139173,109,-0.981296378718347
"27","Sample.1","chr17",130000,775000,11,0.0781036212816534
"28","Sample.1","chr17",825000,10425000,144,-0.443296378718347
"29","Sample.1","chr17",10550000,22631840,99,0.487903621281653
"30","Sample.1","chr17",27092990,68400000,449,0.155003621281653
"31","Sample.1","chr17",68475000,72225000,16,0.488703621281653
"32","Sample.1","chr17",72375000,83148721,186,0.127903621281653
"33","Sample.1","chr18",130000,79975000,399,0.214703621281653
"34","Sample.1","chr18",80025000,80231643,5,-0.375696378718347
"35","Sample.1","chr19",180000,53575000,713,-0.0415963787183466
"36","Sample.1","chr19",53625000,54075000,8,-0.536496378718347
"37","Sample.1","chr19",54125000,58578808,75,-0.118796378718347
"38","Sample.1","chr2",105000,156350000,1014,0.0222036212816534
"39","Sample.1","chr2",156425000,173800000,105,-0.278696378718347
"40","Sample.1","chr2",173975000,242116765,505,0.0484036212816534
"41","Sample.1","chr20",158168,64292084,559,0.174403621281653
"42","Sample.1","chr21",10569444,46674992,240,0.00430362128165336
"43","Sample.1","chr22",16557005,50754234,432,-0.0704963787183466
"44","Sample.1","chr3",230000,186850000,1116,0.196103621281653
"45","Sample.1","chr3",186925000,189275000,23,-0.292596378718347
"46","Sample.1","chr3",189475000,192250000,16,0.421203621281653
"47","Sample.1","chr3",192450000,198142780,70,0.115303621281653
"48","Sample.1","chr4",55000,190061561,926,0.167103621281653
"49","Sample.1","chr5",55000,108450000,540,0.311903621281653
"50","Sample.1","chr5",108625000,181364130,549,0.0105036212816534
"51","Sample.1","chr6",155000,15125000,146,-1.12329637871835
"52","Sample.1","chr6",15225000,32525000,178,-0.396096378718347
"53","Sample.1","chr6",32575000,32775000,5,-0.938696378718347
"54","Sample.1","chr6",32825000,57876944,239,-0.369296378718347
"55","Sample.1","chr6",60793482,72825000,29,0.349503621281653
"56","Sample.1","chr6",73100000,73600000,7,0.00370362128165336
"57","Sample.1","chr6",73850000,85250000,39,0.347803621281653
"58","Sample.1","chr6",85425000,116400000,140,-0.329896378718347
"59","Sample.1","chr6",116475000,170647990,384,0.275303621281653
"60","Sample.1","chr7",55000,159242987,1049,0.0784036212816534
"61","Sample.1","chr8",205000,145039318,931,-0.00769637871834664
"62","Sample.1","chr9",130000,975000,7,-1.13909637871835
"63","Sample.1","chr9",1025000,6725000,26,-0.338296378718347
"64","Sample.1","chr9",6850000,17900000,29,0.124203621281653
"65","Sample.1","chr9",18375000,21375000,13,-0.345396378718347
"66","Sample.1","chr9",21600000,138192359,598,-0.0291963787183466
"67","Sample.1","chrX",2518744,42425000,135,-0.347196378718347
"68","Sample.1","chrX",43300000,63106271,74,1.20100362128165
"69","Sample.1","chrX",63975000,138125000,206,-0.402796378718347
"70","Sample.1","chrX",138950000,152875000,34,1.26310362128165
"71","Sample.1","chrX",152925000,154625000,24,0.885703621281653
"72","Sample.1","chrX",154775000,155640448,5,1.24050362128165
"73","Sample.1","chrY",4518744,21244771,13,-3.39689637871835
