seqnames,start,end,width,strand,freq,type,pvalue
1,12827192,14850000,2022809,*,1,loss,1
3,94050000,176850000,82800001,*,1,loss,1
4,5200000,6750000,1550001,*,1,loss,1
4,68500000,70400000,1900001,*,1,gain,0.2
5,55000,37250000,37195001,*,1,loss,1
6,35250000,37050000,1800001,*,1,loss,1
7,85000000,114950000,29950001,*,1,loss,1
8,43350000,46650000,3300001,*,1,gain,0.2
11,77900000,126800000,48900001,*,2,loss,0
12,19150000,21350000,2200001,*,1,gain,0.2
15,46700000,85750000,39050001,*,1,loss,1
15,85950000,88100000,2150001,*,1,loss,1
17,5600000,6300000,700001,*,2,loss,0
17,33100000,34750000,1650001,*,3,loss,0
X,2518744,155615448,153096705,*,9,gain,0
Y,4518744,21219771,16701028,*,9,loss,0
