"","ID","chrom","loc.start","loc.end","num.mark","bstat","pval","seg.mean","seg.median"
"1","203257030060_R08C01","chr1",93709,249207811,3079,NA,NA,-0.016,-0.016
"2","203257030060_R08C01","chr10",80000,135462374,1617,NA,NA,-0.013,-0.011
"3","203257030060_R08C01","chr11",130000,134898258,1767,NA,NA,-0.021,-0.017
"4","203257030060_R08C01","chr12",172870,133783448,1656,NA,NA,0.008,0.007
"5","203257030060_R08C01","chr13",19110000,115079939,815,NA,NA,-0.008,-0.001
"6","203257030060_R08C01","chr14",19262500,107257270,1083,NA,NA,-0.01,-0.012
"7","203257030060_R08C01","chr15",20237500,102448196,1113,NA,NA,-0.014,-0.014
"8","203257030060_R08C01","chr16",80000,90222377,1266,NA,NA,0.017,0.021
"9","203257030060_R08C01","chr17",12500,81122605,1508,NA,NA,0.028,0.026
"10","203257030060_R08C01","chr18",42500,78008624,628,NA,NA,-0.008,-0.012
"11","203257030060_R08C01","chr19",180000,59096992,1319,NA,NA,0.063,0.069
"12","203257030060_R08C01","chr2",30000,243051238,2567,NA,NA,-0.018,-0.021
"13","203257030060_R08C01","chr20",105000,62932760,896,NA,NA,-0.016,-0.01
"14","203257030060_R08C01","chr21",10836448,48097448,398,NA,NA,0.019,0.024
"15","203257030060_R08C01","chr22",16162500,51222283,696,NA,NA,0.009,0.018
"16","203257030060_R08C01","chr3",155000,197893715,1960,NA,NA,-0.024,-0.026
"17","203257030060_R08C01","chr4",55000,190984638,1447,NA,NA,-0.012,-0.011
"18","203257030060_R08C01","chr5",42500,180790130,1752,NA,NA,-0.031,-0.029
"19","203257030060_R08C01","chr6",130000,170977534,1848,NA,NA,-0.022,-0.019
"20","203257030060_R08C01","chr7",42500,159039332,1760,NA,NA,-0.036,-0.027
"21","203257030060_R08C01","chr8",105000,146277011,1511,NA,NA,-0.024,-0.027
"22","203257030060_R08C01","chr9",67500,141089216,1086,NA,NA,-0.013,-0.01
