Sample_ID,chrom,loc.start,loc.end,num.mark,bstat,seg.mean,seg.median,pval,state,treatment,method,sub.method
205122170045_R04C01,1,742994,1450000,7,NA,-0.573500138274826,NA,0.05,1,tumor,custom,NA
205122170071_R01C01,1,742994,38600000,331,NA,-0.495146074893909,NA,0.05,1,tumor,custom,NA
205125590021_R02C01,1,742994,74600000,565,NA,-0.0269313829435202,NA,0.05,2,tumor,custom,NA
205125590067_R07C01,1,742994,1450000,7,NA,-0.727519359212959,NA,0.05,1,tumor,custom,NA
205125590068_R01C01,1,742994,1450000,7,NA,-0.43625799812281,NA,0.05,1,tumor,custom,NA
205128000076_R07C01,1,742994,1450000,7,NA,-0.99751747925795,NA,0.05,1,tumor,custom,NA
205240110063_R01C01,1,742994,17750000,145,NA,0.000510991147697995,NA,0.05,2,tumor,custom,NA
205243940036_R02C01,1,742994,27850000,244,NA,-0.415830758373837,NA,0.05,1,tumor,custom,NA
205243940046_R04C01,1,742994,114550000,762,NA,-0.318122795387445,NA,0.05,1,tumor,custom,NA
205243940058_R04C01,1,742994,1450000,7,NA,-0.954673599408008,NA,0.05,1,tumor,custom,NA
205243940065_R07C01,1,742994,1450000,7,NA,-0.254043975159593,NA,0.05,1,tumor,custom,NA
205243940107_R05C01,1,742994,1450000,7,NA,-0.689776061474612,NA,0.05,1,tumor,custom,NA
205289430139_R07C01,1,742994,28150000,247,NA,-0.421778202270594,NA,0.05,1,tumor,custom,NA
205122170045_R04C01,1,1550000,55100000,461,NA,0.0985998617251737,NA,0.05,2,tumor,custom,NA
205125590067_R07C01,1,1550000,18750000,147,NA,-0.193019359212959,NA,0.05,2,tumor,custom,NA
205125590068_R01C01,1,1550000,3950000,24,NA,-0.0051579981228095,NA,0.05,2,tumor,custom,NA
205128000076_R07C01,1,1550000,10450000,79,NA,-0.40961747925795,NA,0.05,1,tumor,custom,NA
205243940058_R04C01,1,1550000,3750000,22,NA,-0.360173599408008,NA,0.05,1,tumor,custom,NA
205243940065_R07C01,1,1550000,248923211,1456,NA,0.226656024840407,NA,0.05,3,tumor,custom,NA
205243940107_R05C01,1,1550000,3750000,22,NA,-0.140876061474612,NA,0.05,2,tumor,custom,NA
205243940058_R04C01,1,3850000,227600000,1284,NA,0.00152640059199152,NA,0.05,2,tumor,custom,NA
205243940107_R05C01,1,3850000,248923211,1434,NA,0.189523938525388,NA,0.05,2,tumor,custom,NA
205125590068_R01C01,1,4050000,248923211,1432,NA,0.188242001877191,NA,0.05,2,tumor,custom,NA
205128000076_R07C01,1,10550000,55250000,383,NA,-0.0938174792579501,NA,0.05,2,tumor,custom,NA
205240110063_R01C01,1,17900000,18750000,9,NA,-0.303589008852302,NA,0.05,1,tumor,custom,NA
205125590067_R07C01,1,18850000,55100000,314,NA,-0.00231935921295928,NA,0.05,2,tumor,custom,NA
205240110063_R01C01,1,18850000,61550000,351,NA,0.164610991147698,NA,0.05,2,tumor,custom,NA
205243940036_R02C01,1,27950000,28650000,8,NA,-0.651030758373837,NA,0.05,1,tumor,custom,NA
205289430139_R07C01,1,28250000,28650000,5,NA,-0.789978202270594,NA,0.05,1,tumor,custom,NA
205243940036_R02C01,1,28750000,38600000,79,NA,-0.443530758373837,NA,0.05,1,tumor,custom,NA
205289430139_R07C01,1,28750000,38600000,79,NA,-0.459378202270594,NA,0.05,1,tumor,custom,NA
205122170071_R01C01,1,38750000,100050000,356,NA,0.259153925106091,NA,0.05,3,tumor,custom,NA
205243940036_R02C01,1,38750000,100050000,356,NA,0.186269241626163,NA,0.05,2,tumor,custom,NA
205289430139_R07C01,1,38750000,208300000,864,NA,0.187421797729406,NA,0.05,2,tumor,custom,NA
205122170045_R04C01,1,55250000,227600000,845,NA,0.344299861725174,NA,0.05,3,tumor,custom,NA
205125590067_R07C01,1,55250000,248923211,995,NA,0.191580640787041,NA,0.05,2,tumor,custom,NA
205128000076_R07C01,1,55450000,248923211,994,NA,0.15418252074205,NA,0.05,2,tumor,custom,NA
205240110063_R01C01,1,61800000,65450000,28,NA,-0.104689008852302,NA,0.05,2,tumor,custom,NA
205240110063_R01C01,1,65600000,108850000,182,NA,0.373810991147698,NA,0.05,3,tumor,custom,NA
205125590021_R02C01,1,74900000,85650000,44,NA,0.42136861705648,NA,0.05,3,tumor,custom,NA
205125590021_R02C01,1,86000000,248923211,854,NA,0.00086861705647984,NA,0.05,2,tumor,custom,NA
205122170071_R01C01,1,100150000,153450000,164,NA,0.0427539251060908,NA,0.05,2,tumor,custom,NA
205243940036_R02C01,1,100150000,151250000,144,NA,-0.00883075837383664,NA,0.05,2,tumor,custom,NA
205240110063_R01C01,1,108950000,152200000,125,NA,-0.079389008852302,NA,0.05,2,tumor,custom,NA
205243940046_R04C01,1,114650000,248923211,701,NA,0.030577204612555,NA,0.05,2,tumor,custom,NA
205243940036_R02C01,1,151350000,208300000,364,NA,0.200669241626163,NA,0.05,3,tumor,custom,NA
205240110063_R01C01,1,152400000,153450000,11,NA,-0.336789008852302,NA,0.05,1,tumor,custom,NA
205122170071_R01C01,1,153550000,208300000,344,NA,0.275353925106091,NA,0.05,3,tumor,custom,NA
205240110063_R01C01,1,153550000,157150000,34,NA,0.059910991147698,NA,0.05,2,tumor,custom,NA
205240110063_R01C01,1,157350000,160950000,30,NA,-0.297189008852302,NA,0.05,1,tumor,custom,NA
205240110063_R01C01,1,161050000,247350000,535,NA,0.007610991147698,NA,0.05,2,tumor,custom,NA
205122170071_R01C01,1,208700000,247350000,255,NA,-0.494146074893909,NA,0.05,1,tumor,custom,NA
205243940036_R02C01,1,208700000,248923211,268,NA,-0.338730758373837,NA,0.05,1,tumor,custom,NA
205289430139_R07C01,1,208700000,248923211,268,NA,-0.383978202270594,NA,0.05,1,tumor,custom,NA
205122170045_R04C01,1,227750000,228654182,10,NA,0.0828998617251737,NA,0.05,2,tumor,custom,NA
205243940058_R04C01,1,227750000,228654182,10,NA,-0.363873599408008,NA,0.05,1,tumor,custom,NA
205122170045_R04C01,1,228750000,235050000,52,NA,0.398999861725174,NA,0.05,3,tumor,custom,NA
205243940058_R04C01,1,228750000,248450000,136,NA,0.0530264005919915,NA,0.05,2,tumor,custom,NA
205122170045_R04C01,1,235200000,248923211,88,NA,0.0214998617251737,NA,0.05,2,tumor,custom,NA
205122170071_R01C01,1,247450000,248923211,13,NA,-0.742746074893909,NA,0.05,1,tumor,custom,NA
205240110063_R01C01,1,247450000,248923211,13,NA,-0.263189008852302,NA,0.05,1,tumor,custom,NA
205243940058_R04C01,1,248650000,248923211,4,NA,-0.199073599408008,NA,0.05,2,tumor,custom,NA
205122170045_R04C01,2,55000,3650000,34,NA,-0.246600138274826,NA,0.05,1,tumor,custom,NA
205122170071_R01C01,2,55000,46750000,306,NA,-0.470246074893909,NA,0.05,1,tumor,custom,NA
205125590021_R02C01,2,55000,196800000,1027,NA,0.0169686170564798,NA,0.05,2,tumor,custom,NA
205125590067_R07C01,2,55000,1350000,14,NA,-0.403219359212959,NA,0.05,1,tumor,custom,NA
205125590068_R01C01,2,55000,155800000,826,NA,0.0245420018771905,NA,0.05,2,tumor,custom,NA
205128000076_R07C01,2,55000,17850000,117,NA,-0.28631747925795,NA,0.05,1,tumor,custom,NA
205240110063_R01C01,2,55000,55950000,351,NA,0.008810991147698,NA,0.05,2,tumor,custom,NA
205243940036_R02C01,2,55000,46750000,306,NA,-0.334930758373837,NA,0.05,1,tumor,custom,NA
205243940046_R04C01,2,55000,242091765,1323,NA,-0.00942279538744498,NA,0.05,2,tumor,custom,NA
205243940058_R04C01,2,55000,155800000,826,NA,-0.0434735994080085,NA,0.05,2,tumor,custom,NA
205243940065_R07C01,2,55000,156350000,827,NA,0.0151560248404069,NA,0.05,2,tumor,custom,NA
205243940107_R05C01,2,55000,155800000,826,NA,0.00122393852538846,NA,0.05,2,tumor,custom,NA
205289430139_R07C01,2,55000,46750000,306,NA,-0.387178202270594,NA,0.05,1,tumor,custom,NA
205125590067_R07C01,2,1450000,36450000,211,NA,-0.158019359212959,NA,0.05,2,tumor,custom,NA
205122170045_R04C01,2,3800000,155800000,792,NA,0.117699861725174,NA,0.05,2,tumor,custom,NA
205128000076_R07C01,2,18100000,155800000,709,NA,-0.00641747925795011,NA,0.05,2,tumor,custom,NA
205125590067_R07C01,2,36550000,155800000,601,NA,0.0335806407870407,NA,0.05,2,tumor,custom,NA
205122170071_R01C01,2,46850000,49100000,18,NA,-2.45424607489391,NA,0.05,1,tumor,custom,NA
205243940036_R02C01,2,46850000,49100000,18,NA,-1.31693075837384,NA,0.05,1,tumor,custom,NA
205289430139_R07C01,2,46850000,49100000,18,NA,-1.50107820227059,NA,0.05,1,tumor,custom,NA
205122170071_R01C01,2,49800000,242091765,999,NA,-0.479646074893909,NA,0.05,1,tumor,custom,NA
205243940036_R02C01,2,49800000,242091765,999,NA,-0.334730758373837,NA,0.05,1,tumor,custom,NA
205289430139_R07C01,2,49800000,242091765,999,NA,-0.381478202270594,NA,0.05,1,tumor,custom,NA
205240110063_R01C01,2,56050000,60450000,12,NA,-0.260089008852302,NA,0.05,1,tumor,custom,NA
205240110063_R01C01,2,60600000,81250000,124,NA,0.029510991147698,NA,0.05,2,tumor,custom,NA
205240110063_R01C01,2,81950000,86750000,26,NA,0.472310991147698,NA,0.05,3,tumor,custom,NA
205240110063_R01C01,2,87400000,113950000,135,NA,0.139610991147698,NA,0.05,2,tumor,custom,NA
205240110063_R01C01,2,114300000,117400000,5,NA,-0.592489008852302,NA,0.05,1,tumor,custom,NA
205240110063_R01C01,2,117850000,179900000,312,NA,-0.250089008852302,NA,0.05,1,tumor,custom,NA
205122170045_R04C01,2,156350000,173950000,104,NA,-0.257200138274826,NA,0.05,1,tumor,custom,NA
205125590067_R07C01,2,156350000,173750000,103,NA,-0.305319359212959,NA,0.05,1,tumor,custom,NA
205125590068_R01C01,2,156350000,173750000,103,NA,-0.29375799812281,NA,0.05,1,tumor,custom,NA
205128000076_R07C01,2,156350000,173750000,103,NA,-0.25571747925795,NA,0.05,1,tumor,custom,NA
205243940058_R04C01,2,156350000,173950000,104,NA,-0.383573599408009,NA,0.05,1,tumor,custom,NA
205243940107_R05C01,2,156350000,173750000,103,NA,-0.317776061474612,NA,0.05,1,tumor,custom,NA
205243940065_R07C01,2,156600000,173750000,102,NA,-0.288043975159593,NA,0.05,1,tumor,custom,NA
205125590067_R07C01,2,173950000,242091765,394,NA,-0.00941935921295928,NA,0.05,2,tumor,custom,NA
205125590068_R01C01,2,173950000,242091765,394,NA,0.0222420018771905,NA,0.05,2,tumor,custom,NA
205128000076_R07C01,2,173950000,242091765,394,NA,0.0147825207420499,NA,0.05,2,tumor,custom,NA
205243940065_R07C01,2,173950000,242091765,394,NA,0.0498560248404069,NA,0.05,2,tumor,custom,NA
205243940107_R05C01,2,173950000,242091765,394,NA,-0.00117606147461154,NA,0.05,2,tumor,custom,NA
205122170045_R04C01,2,174050000,242091765,393,NA,0.0270998617251737,NA,0.05,2,tumor,custom,NA
205243940058_R04C01,2,174050000,242091765,393,NA,-0.103073599408008,NA,0.05,2,tumor,custom,NA
205240110063_R01C01,2,180050000,181500000,6,NA,-0.637289008852302,NA,0.05,1,tumor,custom,NA
205240110063_R01C01,2,181700000,223850000,213,NA,-0.158589008852302,NA,0.05,2,tumor,custom,NA
205125590021_R02C01,2,196950000,197650000,8,NA,0.23006861705648,NA,0.05,3,tumor,custom,NA
205125590021_R02C01,2,197750000,227000000,163,NA,-0.0459313829435202,NA,0.05,2,tumor,custom,NA
205240110063_R01C01,2,223950000,225750000,8,NA,-0.651989008852302,NA,0.05,1,tumor,custom,NA
