"","GDC_Aliquot","Chromosome","Start","End","Num_Probes","Segment_Mean"
"1","9770e332-3bd1-4585-b5eb-b4a137e50cf5","1",62920,462894,19,-0.0989
"2","9770e332-3bd1-4585-b5eb-b4a137e50cf5","1",599171,14908398,7661,-0.6077
"3","9770e332-3bd1-4585-b5eb-b4a137e50cf5","1",14911366,14911559,2,-2.7672
"4","9770e332-3bd1-4585-b5eb-b4a137e50cf5","1",14912258,15823420,630,-0.5659
"5","9770e332-3bd1-4585-b5eb-b4a137e50cf5","1",15827002,15827430,6,-1.9841
"6","9770e332-3bd1-4585-b5eb-b4a137e50cf5","1",15827706,19074911,1957,-0.6115
"7","9770e332-3bd1-4585-b5eb-b4a137e50cf5","1",19075474,19075896,2,-3.2396
"8","9770e332-3bd1-4585-b5eb-b4a137e50cf5","1",19076412,25256850,3699,-0.6016
"9","9770e332-3bd1-4585-b5eb-b4a137e50cf5","1",25266637,25319693,21,-1.4646
"10","9770e332-3bd1-4585-b5eb-b4a137e50cf5","1",25320198,32791044,3715,-0.5918
"11","9770e332-3bd1-4585-b5eb-b4a137e50cf5","1",32797320,72297687,24943,0.1777
"12","9770e332-3bd1-4585-b5eb-b4a137e50cf5","1",72302735,72345450,47,-1.2271
"13","9770e332-3bd1-4585-b5eb-b4a137e50cf5","1",72345465,75585159,1926,0.1428
"14","9770e332-3bd1-4585-b5eb-b4a137e50cf5","1",75589078,75589169,2,-2.1091
"15","9770e332-3bd1-4585-b5eb-b4a137e50cf5","1",75593824,103560608,18032,0.1653
"16","9770e332-3bd1-4585-b5eb-b4a137e50cf5","1",103566616,103616725,26,0.5827
"17","9770e332-3bd1-4585-b5eb-b4a137e50cf5","1",103616762,109679105,3571,0.1452
"18","9770e332-3bd1-4585-b5eb-b4a137e50cf5","1",109684695,109697556,15,-0.7497
"19","9770e332-3bd1-4585-b5eb-b4a137e50cf5","1",109702376,155687178,11335,0.1733
"20","9770e332-3bd1-4585-b5eb-b4a137e50cf5","1",155691436,155693566,3,-1.1574
"21","9770e332-3bd1-4585-b5eb-b4a137e50cf5","1",155697170,178498643,15565,0.1615
"22","9770e332-3bd1-4585-b5eb-b4a137e50cf5","1",178501730,178789230,246,0.3034
"23","9770e332-3bd1-4585-b5eb-b4a137e50cf5","1",178790491,187746723,6053,0.1676
"24","9770e332-3bd1-4585-b5eb-b4a137e50cf5","1",187748429,187752238,2,-2.1184
"25","9770e332-3bd1-4585-b5eb-b4a137e50cf5","1",187755479,194479104,4504,0.1509
"26","9770e332-3bd1-4585-b5eb-b4a137e50cf5","1",194482281,194485888,2,2.4546
"27","9770e332-3bd1-4585-b5eb-b4a137e50cf5","1",194487886,196843377,1505,0.1548
"28","9770e332-3bd1-4585-b5eb-b4a137e50cf5","1",196843400,196846661,2,3.2174
"29","9770e332-3bd1-4585-b5eb-b4a137e50cf5","1",196847600,248446755,35520,0.1671
"30","9770e332-3bd1-4585-b5eb-b4a137e50cf5","1",248447206,248467495,8,-0.9512
"31","9770e332-3bd1-4585-b5eb-b4a137e50cf5","1",248471839,248930189,192,0.1722
"32","9770e332-3bd1-4585-b5eb-b4a137e50cf5","2",12784,4904310,3652,-0.6206
"33","9770e332-3bd1-4585-b5eb-b4a137e50cf5","2",4904488,4904955,2,-3.026
"34","9770e332-3bd1-4585-b5eb-b4a137e50cf5","2",4905207,20559891,11799,-0.5931
"35","9770e332-3bd1-4585-b5eb-b4a137e50cf5","2",20560363,20560605,2,-3.9711
"36","9770e332-3bd1-4585-b5eb-b4a137e50cf5","2",20560762,34466002,8535,-0.5838
"37","9770e332-3bd1-4585-b5eb-b4a137e50cf5","2",34474248,34511990,46,0.0539
"38","9770e332-3bd1-4585-b5eb-b4a137e50cf5","2",34512096,52527330,12951,-0.5817
"39","9770e332-3bd1-4585-b5eb-b4a137e50cf5","2",52527342,52554404,39,-1.802
"40","9770e332-3bd1-4585-b5eb-b4a137e50cf5","2",52560811,67531623,9769,-0.5754
"41","9770e332-3bd1-4585-b5eb-b4a137e50cf5","2",67533823,67538760,4,-2.3971
"42","9770e332-3bd1-4585-b5eb-b4a137e50cf5","2",67541380,94669081,13129,-0.5735
"43","9770e332-3bd1-4585-b5eb-b4a137e50cf5","2",94675825,188254196,55926,0.1273
"44","9770e332-3bd1-4585-b5eb-b4a137e50cf5","2",188255201,188262203,4,-1.8682
"45","9770e332-3bd1-4585-b5eb-b4a137e50cf5","2",188264452,242147305,33277,0.1254
"46","9770e332-3bd1-4585-b5eb-b4a137e50cf5","3",20930,256488,214,0.1124
"47","9770e332-3bd1-4585-b5eb-b4a137e50cf5","3",258632,15643630,12268,0.1771
"48","9770e332-3bd1-4585-b5eb-b4a137e50cf5","3",15646335,37463759,14720,0.1543
"49","9770e332-3bd1-4585-b5eb-b4a137e50cf5","3",37465566,46751887,5886,0.1725
"50","9770e332-3bd1-4585-b5eb-b4a137e50cf5","3",46760327,46817989,41,-0.6706
"51","9770e332-3bd1-4585-b5eb-b4a137e50cf5","3",46818342,68697013,14532,0.1699
"52","9770e332-3bd1-4585-b5eb-b4a137e50cf5","3",68697108,68698262,14,-1.3927
"53","9770e332-3bd1-4585-b5eb-b4a137e50cf5","3",68699607,76507801,5362,0.1687
"54","9770e332-3bd1-4585-b5eb-b4a137e50cf5","3",76508638,96991607,9297,0.1372
"55","9770e332-3bd1-4585-b5eb-b4a137e50cf5","3",96991768,107995784,6507,0.1608
"56","9770e332-3bd1-4585-b5eb-b4a137e50cf5","3",108001114,108001291,2,2.1671
"57","9770e332-3bd1-4585-b5eb-b4a137e50cf5","3",108002016,140823697,20165,0.1671
"58","9770e332-3bd1-4585-b5eb-b4a137e50cf5","3",140826859,140828142,2,-2.0479
"59","9770e332-3bd1-4585-b5eb-b4a137e50cf5","3",140841776,149245189,5165,0.1526
"60","9770e332-3bd1-4585-b5eb-b4a137e50cf5","3",149245608,149250334,25,-0.6808
"61","9770e332-3bd1-4585-b5eb-b4a137e50cf5","3",149253293,162790480,8313,0.1543
"62","9770e332-3bd1-4585-b5eb-b4a137e50cf5","3",162794869,162908207,70,0.9411
"63","9770e332-3bd1-4585-b5eb-b4a137e50cf5","3",162908784,163235296,240,0.1701
"64","9770e332-3bd1-4585-b5eb-b4a137e50cf5","3",163243432,178927546,9600,0.078
"65","9770e332-3bd1-4585-b5eb-b4a137e50cf5","3",178928502,178932571,2,-1.5984
"66","9770e332-3bd1-4585-b5eb-b4a137e50cf5","3",178933173,193160113,9285,0.077
"67","9770e332-3bd1-4585-b5eb-b4a137e50cf5","3",193160173,193165114,19,-1.4612
"68","9770e332-3bd1-4585-b5eb-b4a137e50cf5","3",193168646,195558822,1477,0.066
"69","9770e332-3bd1-4585-b5eb-b4a137e50cf5","3",195559056,195685341,6,-1.0239
"70","9770e332-3bd1-4585-b5eb-b4a137e50cf5","3",195691392,198169247,1204,0.0634
"71","9770e332-3bd1-4585-b5eb-b4a137e50cf5","4",68929,3597723,1436,0.1436
"72","9770e332-3bd1-4585-b5eb-b4a137e50cf5","4",3598142,3600457,2,-1.9435
"73","9770e332-3bd1-4585-b5eb-b4a137e50cf5","4",3607663,4117959,185,0.0937
"74","9770e332-3bd1-4585-b5eb-b4a137e50cf5","4",4121101,4151033,6,-1.1647
"75","9770e332-3bd1-4585-b5eb-b4a137e50cf5","4",4158336,4371932,176,0.1615
"76","9770e332-3bd1-4585-b5eb-b4a137e50cf5","4",4372749,4373516,2,-0.9723
"77","9770e332-3bd1-4585-b5eb-b4a137e50cf5","4",4374361,5308576,713,0.169
"78","9770e332-3bd1-4585-b5eb-b4a137e50cf5","4",5308694,5318059,5,-0.8231
"79","9770e332-3bd1-4585-b5eb-b4a137e50cf5","4",5321568,9462813,2621,0.16
"80","9770e332-3bd1-4585-b5eb-b4a137e50cf5","4",9463248,9477560,3,-1.4241
"81","9770e332-3bd1-4585-b5eb-b4a137e50cf5","4",9477699,10390730,743,0.1764
"82","9770e332-3bd1-4585-b5eb-b4a137e50cf5","4",10391530,10399044,15,-0.4306
"83","9770e332-3bd1-4585-b5eb-b4a137e50cf5","4",10401094,34777382,16758,0.1399
"84","9770e332-3bd1-4585-b5eb-b4a137e50cf5","4",34777403,34822561,40,-0.5315
"85","9770e332-3bd1-4585-b5eb-b4a137e50cf5","4",34823103,49656206,8971,0.137
"86","9770e332-3bd1-4585-b5eb-b4a137e50cf5","4",49656595,63841863,7563,-0.5986
"87","9770e332-3bd1-4585-b5eb-b4a137e50cf5","4",63841887,63842540,7,-2.1474
"88","9770e332-3bd1-4585-b5eb-b4a137e50cf5","4",63850713,68509237,2873,-0.6136
"89","9770e332-3bd1-4585-b5eb-b4a137e50cf5","4",68509442,68620261,63,-1.6497
"90","9770e332-3bd1-4585-b5eb-b4a137e50cf5","4",68623617,69262694,318,-0.6089
"91","9770e332-3bd1-4585-b5eb-b4a137e50cf5","4",69265102,69363634,49,-0.2651
"92","9770e332-3bd1-4585-b5eb-b4a137e50cf5","4",69363716,72630317,1924,-0.6073
"93","9770e332-3bd1-4585-b5eb-b4a137e50cf5","4",72631312,76872087,2684,0.1713
"94","9770e332-3bd1-4585-b5eb-b4a137e50cf5","4",76872183,76872625,5,-1.0858
"95","9770e332-3bd1-4585-b5eb-b4a137e50cf5","4",76872676,86054070,5796,0.1588
"96","9770e332-3bd1-4585-b5eb-b4a137e50cf5","4",86054941,86057994,15,-0.6365
"97","9770e332-3bd1-4585-b5eb-b4a137e50cf5","4",86058229,114252544,16833,0.1572
"98","9770e332-3bd1-4585-b5eb-b4a137e50cf5","4",114254167,114261019,23,-1.2642
"99","9770e332-3bd1-4585-b5eb-b4a137e50cf5","4",114263073,124389774,5985,0.1627
"100","9770e332-3bd1-4585-b5eb-b4a137e50cf5","4",124396117,124397134,2,-3.2015
"101","9770e332-3bd1-4585-b5eb-b4a137e50cf5","4",124397143,137163953,7217,0.1553
"102","9770e332-3bd1-4585-b5eb-b4a137e50cf5","4",137168393,137172260,17,-0.5188
"103","9770e332-3bd1-4585-b5eb-b4a137e50cf5","4",137173804,154881396,10757,0.168
