"ID","chrom","loc.start","loc.end","num.mark","seg.mean","seg.sd","seg.median","seg.mad","pval","lcl","ucl"
"Sample.1","chr1",792994,248473211,232,-0.0774,0.0786,-0.0725,0.0628,NA,NA,NA
"Sample.1","chr10",505000,133345233,133,-0.0706,0.066,-0.0636,0.0641,NA,NA,NA
"Sample.1","chr11",530000,134538311,128,-0.085,0.0859,-0.0758,0.0594,NA,NA,NA
"Sample.1","chr12",505000,133132655,133,-0.0728,0.079,-0.0626,0.0739,NA,NA,NA
"Sample.1","chr13",18704053,114177164,98,-0.1052,0.0877,-0.1007,0.0688,NA,NA,NA
"Sample.1","chr14",19187179,98500000,81,-0.1008,0.0623,-0.0935,0.0685,6.66373783525814e-05,94500000,102500000
"Sample.1","chr14",99500000,106441859,8,0.0115,0.0793,0.0283,0.0862,NA,NA,NA
"Sample.1","chr15",20232279,101490595,86,-0.0565,0.0681,-0.0523,0.0454,NA,NA,NA
"Sample.1","chr16",505000,4500000,5,0.1032,0.0434,0.1096,0.045,0.00025533764444489,3500000,8500000
"Sample.1","chr16",5500000,90114173,77,-0.0276,0.0647,-0.0177,0.066,NA,NA,NA
"Sample.1","chr17",254094,2500000,4,0.0925,0.0089,0.0914,0.0087,9.31300309582792e-05,2500000,4500000
"Sample.1","chr17",3500000,79500000,74,-0.0341,0.054,-0.0292,0.0406,4.70712741961901e-08,78500000,79500000
"Sample.1","chr17",80500000,83123721,5,0.114,0.024,0.1168,0.0129,NA,NA,NA
"Sample.1","chr18",505000,80131643,76,-0.0755,0.0787,-0.0585,0.0621,NA,NA,NA
"Sample.1","chr19",530000,58303808,57,0.0279,0.0607,0.0329,0.0475,NA,NA,NA
"Sample.1","chr2",505000,242091765,241,-0.084,0.0752,-0.0728,0.0682,NA,NA,NA
"Sample.1","chr20",533168,64167084,62,-0.0428,0.0613,-0.0437,0.0611,NA,NA,NA
"Sample.1","chr21",5088123,13482904,7,0.061,0.0615,0.088,0.0591,2.17802038725635e-06,10569444,16500000
"Sample.1","chr21",14500000,41292146,28,-0.098,0.0736,-0.0797,0.0797,2.45212773444167e-07,39500000,42500000
"Sample.1","chr21",41792196,46349992,7,0.0687,0.0586,0.0913,0.0367,NA,NA,NA
"Sample.1","chr22",15716995,50391917,38,0.0132,0.0658,0.0116,0.0417,NA,NA,NA
"Sample.1","chr3",505000,198117780,194,-0.0968,0.0778,-0.0883,0.0735,NA,NA,NA
"Sample.1","chr4",505000,8398739,10,0.0449,0.0821,0.0319,0.0846,1.87923330064053e-07,6500000,12500000
"Sample.1","chr4",9661458,190061561,180,-0.1184,0.0869,-0.1121,0.0692,NA,NA,NA
"Sample.1","chr5",505000,1500000,2,0.0819,0.0378,0.0819,0.0396,0.00313299025357803,1500000,4500000
"Sample.1","chr5",2500000,175500000,171,-0.1048,0.0674,-0.0971,0.0626,5.39811836135522e-05,172500000,175500000
"Sample.1","chr5",176500000,181239130,6,0.0296,0.0366,0.0294,0.0472,NA,NA,NA
"Sample.1","chr6",530000,170372990,167,-0.1187,0.0769,-0.1093,0.0808,NA,NA,NA
"Sample.1","chr7",123923,6500000,8,0.0535,0.0572,0.0632,0.0336,1.01198056463933e-14,5500000,7500000
"Sample.1","chr7",7500000,54500000,48,-0.1247,0.0575,-0.1131,0.0709,1.94554710798195e-17,52500000,55500000
"Sample.1","chr7",55500000,77500000,18,0.0062,0.04,0.0086,0.0331,4.175229325381e-07,76500000,84500000
"Sample.1","chr7",78500000,159167987,82,-0.1141,0.087,-0.1187,0.0935,NA,NA,NA
"Sample.1","chr8",530000,145039318,147,-0.1056,0.0823,-0.1022,0.0674,NA,NA,NA
"Sample.1","chr9",505000,138167359,114,-0.0608,0.0714,-0.0584,0.0578,NA,NA,NA
"Sample.1","chrX",2568744,155515448,137,0.4305,0.0894,0.4425,0.0717,NA,NA,NA
"Sample.1","chrY",2568744,24239248,16,-3.262,1.3771,-3.5908,1.1903,NA,NA,NA
