"ID","chrom","loc.start","loc.end","num.mark","seg.mean","seg.sd","seg.median","seg.mad","pval","lcl","ucl"
"Sample.1","chr1",717994,17550000,186,-0.2821,0.1027,-0.2662,0.0963,0,17450000,17550000
"Sample.1","chr1",17625000,185825000,737,0.0567,0.064,0.0654,0.054,1.53120204312789e-29,185500000,192550000
"Sample.1","chr1",186150000,199450000,18,-0.1318,0.1514,-0.1593,0.1946,1.65807590568355e-23,197150000,200150000
"Sample.1","chr1",200150000,247875000,241,0.0502,0.0618,0.0542,0.0563,1.21675400339528e-12,247725000,248725000
"Sample.1","chr1",248000000,248898211,6,-0.1368,0.1884,-0.1229,0.2169,NA,NA,NA
"Sample.1","chr10",55000,38464954,162,0.0159,0.0745,0.0229,0.0609,2.04123370948766e-163,38225000,38464954
"Sample.1","chr10",42308133,50225000,44,-0.3546,0.0966,-0.3453,0.1101,9.26851949995301e-12,49900000,54275000
"Sample.1","chr10",50500000,67800000,32,-0.6084,0.2008,-0.6312,0.1418,3.67180926438445e-16,62575000,68425000
"Sample.1","chr10",67950000,133620233,365,-0.3748,0.1396,-0.3456,0.1339,NA,NA,NA
"Sample.1","chr11",130000,4700000,68,0.0724,0.0483,0.0755,0.0446,6.82656510425316e-19,4475000,5075000
"Sample.1","chr11",4875000,6050000,8,-0.1132,0.0935,-0.1088,0.12,1.55587889264302e-07,5575000,6350000
"Sample.1","chr11",6225000,21475000,86,0.0388,0.0676,0.0472,0.0657,8.66472129232085e-11,20575000,21475000
"Sample.1","chr11",22450000,27150000,8,-0.1379,0.0731,-0.1243,0.0761,1.1483255385132e-07,27150000,27900000
"Sample.1","chr11",27400000,50535674,84,0.0339,0.0787,0.0489,0.0684,3.95865948779547e-29,50535674,55700000
"Sample.1","chr11",55037537,56550000,5,-0.4611,0.2474,-0.4197,0.3235,3.68556482713216e-47,55975000,56550000
"Sample.1","chr11",56975000,134913311,453,0.0494,0.0742,0.0611,0.0554,NA,NA,NA
"Sample.1","chr12",55000,34534704,149,0.0179,0.1003,0.0378,0.0664,1.96379053582002e-102,34325000,34534704
"Sample.1","chr12",37805064,46100000,20,-0.5458,0.1633,-0.5645,0.1553,7.35873228134198e-13,44950000,46925000
"Sample.1","chr12",46300000,58525000,119,-0.315,0.1162,-0.296,0.0943,1.16882383428124e-274,58525000,59225000
"Sample.1","chr12",59225000,133182655,327,0.0404,0.0836,0.0533,0.0623,NA,NA,NA
"Sample.1","chr13",18554053,19250000,3,-0.342,0.153,-0.3184,0.1724,4.05441241624345e-15,19250000,19475000
"Sample.1","chr13",19475000,41725000,100,0.0227,0.0724,0.0291,0.066,1.71945907267592e-156,41725000,42275000
"Sample.1","chr13",42275000,53175000,48,-0.4539,0.1448,-0.4417,0.1577,5.44376528678823e-05,52075000,75350000
"Sample.1","chr13",54250000,94650000,42,-0.6666,0.2661,-0.6862,0.3449,7.84938393487302e-05,77675000,95350000
"Sample.1","chr13",94725000,102825000,36,-0.4384,0.1289,-0.4401,0.1471,5.44307886255975e-06,102775000,106525000
"Sample.1","chr13",103000000,107525000,9,-0.7576,0.2772,-0.7249,0.191,2.20178600971463e-17,105775000,108025000
"Sample.1","chr13",108025000,114302164,68,-0.39,0.0924,-0.3821,0.0783,NA,NA,NA
"Sample.1","chr14",18981322,106841859,386,0.0411,0.1186,0.0618,0.0597,NA,NA,NA
