"ID","chrom","loc.start","loc.end","num.mark","seg.mean","seg.sd","seg.median","seg.mad","pval","lcl","ucl"
"Sample.1","chr1",692994,1475000,15,-0.6766,0.2497,-0.7629,0.0665,1.05002317355389e-65,1325000,1475000
"Sample.1","chr1",1525000,18975000,253,-0.1991,0.0883,-0.1976,0.0731,5.55984062953563e-206,18875000,19075000
"Sample.1","chr1",19025000,55125000,466,-0.0071,0.0749,-0.0064,0.0778,2.9133116183523e-304,55025000,55625000
"Sample.1","chr1",55275000,248923211,1266,0.1903,0.1042,0.1878,0.1067,NA,NA,NA
"Sample.1","chr10",55000,133645233,1048,0.0101,0.0912,0.0106,0.085,NA,NA,NA
"Sample.1","chr11",130000,125625000,1039,-0.0588,0.1123,-0.0668,0.1084,6.03337017529628e-116,125575000,125700000
"Sample.1","chr11",125700000,135013311,85,-0.3491,0.0952,-0.349,0.0952,NA,NA,NA
"Sample.1","chr12",55000,625000,11,-0.2064,0.0638,-0.207,0.0728,0.00820994844730901,625000,8300000
"Sample.1","chr12",700000,8625000,99,-0.39,0.1664,-0.3685,0.1033,2.38060863711527e-254,8550000,8625000
"Sample.1","chr12",8725000,132975000,946,-0.02,0.0931,-0.0219,0.0862,1.34087918609126e-15,132825000,133025000
"Sample.1","chr12",133025000,133207655,4,-0.2436,0.0841,-0.2478,0.0705,NA,NA,NA
"Sample.1","chr13",18629053,22100000,36,0.0478,0.0865,0.0472,0.1122,3.21727306908251e-64,22100000,22500000
"Sample.1","chr13",22500000,37100000,115,0.3864,0.1081,0.3915,0.1014,0,37100000,37100000
"Sample.1","chr13",37350000,66625000,138,-0.298,0.1012,-0.2908,0.1143,0,66625000,66625000
"Sample.1","chr13",67075000,110475000,165,0.4608,0.1095,0.4632,0.094,3.58117925775412e-29,110225000,110575000
"Sample.1","chr13",110525000,114327164,66,0.2898,0.0756,0.2804,0.0663,NA,NA,NA
"Sample.1","chr14",19106322,20200000,4,-0.0844,0.0509,-0.089,0.0554,4.51415011921837e-05,20200000,20425000
"Sample.1","chr14",20325000,35450000,106,0.1374,0.0906,0.1274,0.0773,1.74989586733802e-06,34975000,35450000
"Sample.1","chr14",35650000,36975000,9,-0.0298,0.0347,-0.0357,0.0505,1.88818505751491e-06,36975000,37575000
"Sample.1","chr14",37275000,38950000,8,-0.1857,0.0847,-0.2001,0.0715,2.21159222183273e-11,38225000,39125000
"Sample.1","chr14",39125000,57150000,95,-0.0033,0.0671,-0.0066,0.0624,2.71556153903117e-157,57150000,57300000
"Sample.1","chr14",57300000,106841859,492,-0.2903,0.0997,-0.2893,0.0891,NA,NA,NA
"Sample.1","chr15",20012627,101890595,721,-0.0643,0.0898,-0.069,0.0851,NA,NA,NA
"Sample.1","chr16",55000,31900000,346,-0.3819,0.0987,-0.3761,0.0916,1.3551549714252e-08,31525000,32850000
"Sample.1","chr16",32100000,34219665,10,-0.1758,0.1502,-0.1833,0.1363,5.74248716519887e-14,34000000,34430420
"Sample.1","chr16",34430420,51275000,54,0.1071,0.0989,0.1087,0.0873,1.3171915526412e-263,51275000,51275000
"Sample.1","chr16",51500000,90139173,389,-0.4147,0.1038,-0.4138,0.0901,NA,NA,NA
"Sample.1","chr17",130000,725000,10,0.1261,0.0652,0.1183,0.0576,9.04771857127233e-57,725000,725000
"Sample.1","chr17",775000,10425000,146,-0.3681,0.0952,-0.3682,0.0764,0,10425000,10425000
"Sample.1","chr17",10550000,16375000,39,0.6872,0.1667,0.6837,0.1965,1.32950864307031e-16,15975000,16600000
"Sample.1","chr17",16425000,22631840,76,0.455,0.1156,0.441,0.1024,3.28136801977956e-205,22631840,27092990
"Sample.1","chr17",27092990,49825000,298,0.0773,0.09,0.0735,0.0818,3.19321072178056e-24,49650000,49875000
"Sample.1","chr17",49875000,54425000,31,-0.0989,0.0632,-0.1002,0.0784,1.48041253703123e-35,54425000,55050000
"Sample.1","chr17",54925000,56225000,12,0.2767,0.1363,0.2918,0.1333,6.39808013467608e-11,55775000,56650000
"Sample.1","chr17",56425000,60800000,52,-0.0274,0.1351,-0.0129,0.147,2.65284696105726e-11,60450000,61025000
"Sample.1","chr17",61025000,63075000,18,0.2223,0.102,0.2123,0.1028,1.95265878063891e-41,63075000,63075000
"Sample.1","chr17",63275000,65600000,29,-0.1211,0.0711,-0.1313,0.0753,6.49856329113274e-15,65600000,66375000
"Sample.1","chr17",65775000,68325000,25,0.1562,0.1661,0.1649,0.1761,2.41153956257318e-07,67925000,68400000
"Sample.1","chr17",68400000,72050000,16,0.4053,0.0701,0.4084,0.0649,5.22693332410762e-46,71525000,72225000
"Sample.1","chr17",72225000,83148721,187,0.1095,0.0794,0.0996,0.0728,NA,NA,NA
"Sample.1","chr18",80000,200000,2,-0.0514,0.051,-0.0514,0.0535,8.98341421062677e-05,200000,675000
"Sample.1","chr18",350000,80231643,411,0.2041,0.09,0.2065,0.0954,NA,NA,NA
"Sample.1","chr19",180000,19725000,337,0.0134,0.0774,0.0042,0.07,1.90558176007526e-20,19550000,19800000
"Sample.1","chr19",19800000,22550000,15,0.194,0.0685,0.2015,0.0793,5.70105053794826e-18,22375000,22925000
"Sample.1","chr19",22700000,58578808,468,-0.0171,0.0937,-0.0228,0.0849,NA,NA,NA
