"ID","chrom","loc.start","loc.end","num.mark","seg.mean","seg.sd","seg.median","seg.mad","pval","lcl","ucl"
"Sample.1","chr1",717994,158250000,808,0.0145,0.1086,0.0271,0.0848,1.4954465288181e-20,156825000,159025000
"Sample.1","chr1",158450000,159525000,5,-0.1885,0.1978,-0.2756,0.1789,1.70904238958791e-12,158725000,159825000
"Sample.1","chr1",159825000,185825000,110,0.0743,0.0842,0.0904,0.0661,4.60580376783576e-22,185500000,192925000
"Sample.1","chr1",186150000,199450000,18,-0.2398,0.2573,-0.2886,0.2384,7.86071795072577e-13,196175000,200350000
"Sample.1","chr1",200150000,248898211,247,0.015,0.1215,0.0347,0.0986,NA,NA,NA
"Sample.1","chr10",55000,133620233,603,-0.0427,0.1302,-0.0281,0.1017,NA,NA,NA
"Sample.1","chr11",130000,134913311,712,-0.16,0.1971,-0.117,0.1429,NA,NA,NA
"Sample.1","chr12",55000,133182655,615,-0.0566,0.1616,-0.0189,0.1128,NA,NA,NA
"Sample.1","chr13",18554053,20825000,14,-0.3468,0.1252,-0.3683,0.1389,4.3798656468512e-16,20625000,21000000
"Sample.1","chr13",20925000,28625000,44,-0.0568,0.1066,-0.055,0.1094,3.67068026908603e-05,27850000,29700000
"Sample.1","chr13",29075000,31250000,11,0.1221,0.145,0.1636,0.0384,7.14634571849617e-33,31025000,31250000
"Sample.1","chr13",31575000,33375000,9,-0.6353,0.144,-0.6023,0.1589,1.52878957020647e-06,33375000,35550000
"Sample.1","chr13",33650000,45375000,39,-0.1035,0.2864,0.013,0.2067,2.93731119656972e-20,44750000,46100000
"Sample.1","chr13",45575000,93925000,74,-0.7523,0.3653,-0.65,0.3781,1.57431448110313e-25,85026490,94650000
"Sample.1","chr13",94450000,114302164,115,-0.3111,0.1909,-0.3009,0.1719,NA,NA,NA
"Sample.1","chr14",18981322,24725000,44,-0.1871,0.2027,-0.1234,0.1112,2.24708567218237e-10,24275000,27650000
"Sample.1","chr14",25800000,33425000,11,-0.6585,0.2152,-0.6093,0.339,4.80845808439512e-19,32175000,34825000
"Sample.1","chr14",34325000,96100000,231,-0.1996,0.155,-0.175,0.1432,1.49171286668082e-13,95225000,100425000
"Sample.1","chr14",96225000,106841859,100,0.0107,0.3239,0.0689,0.1406,NA,NA,NA
"Sample.1","chr15",20062627,101840595,407,0.0312,0.1313,0.0591,0.0998,NA,NA,NA
"Sample.1","chr16",80000,90139173,485,0.109,0.0791,0.1088,0.0674,NA,NA,NA
"Sample.1","chr17",130000,40475000,295,-0.0081,0.1384,-0.0091,0.1468,4.71489712789516e-21,40375000,40475000
"Sample.1","chr17",40650000,41250000,7,-0.538,0.1993,-0.4776,0.1474,7.35379557254908e-37,41250000,41250000
"Sample.1","chr17",41375000,83148721,343,0.0509,0.116,0.0746,0.1145,NA,NA,NA
"Sample.1","chr18",130000,80181643,168,-0.1551,0.1265,-0.133,0.103,NA,NA,NA
"Sample.1","chr19",180000,58578808,615,0.0157,0.1742,-0.0317,0.0924,NA,NA,NA
"Sample.1","chr2",130000,136425000,540,-0.0729,0.1377,-0.0553,0.1232,6.51697806178883e-38,136025000,136425000
"Sample.1","chr2",137350000,143200000,6,-0.6159,0.1754,-0.6317,0.1915,4.22942480994872e-09,141100000,144275000
"Sample.1","chr2",144050000,242091765,366,-0.1537,0.1704,-0.1228,0.1512,NA,NA,NA
"Sample.1","chr20",158168,64292084,260,-0.0998,0.1114,-0.0803,0.0801,NA,NA,NA
"Sample.1","chr21",5055000,46649992,117,0.0758,0.1208,0.0973,0.0647,NA,NA,NA
"Sample.1","chr22",15716995,50754234,225,0.0042,0.1298,-0.0194,0.1217,NA,NA,NA
"Sample.1","chr3",155000,198167780,680,-0.0192,0.1644,0.0159,0.1259,NA,NA,NA
"Sample.1","chr4",155000,58014397,222,0.0653,0.1166,0.0828,0.0926,6.29325671453616e-37,57125000,66575000
"Sample.1","chr4",60485691,70500000,10,-0.4941,0.339,-0.5011,0.4401,3.32429412759707e-17,67950000,70725000
"Sample.1","chr4",70725000,190061561,300,-0.0227,0.1551,0.0056,0.1245,NA,NA,NA
"Sample.1","chr5",80000,18140274,93,-0.0065,0.1099,-0.0103,0.1138,1.8914871404017e-25,17440274,20950000
"Sample.1","chr5",19500000,30150000,8,-0.5137,0.2682,-0.4864,0.3099,6.66410609992939e-14,25250000,31675000
"Sample.1","chr5",31325000,181364130,527,-0.0702,0.1532,-0.0404,0.1271,NA,NA,NA
"Sample.1","chr6",205000,31200000,201,-0.2395,0.1799,-0.2106,0.1418,6.04744219450483e-07,31075000,31200000
"Sample.1","chr6",31275000,31475000,5,0.1766,0.1295,0.2258,0.1123,1.34179052209048e-14,31375000,31475000
"Sample.1","chr6",31525000,32250000,15,-0.1011,0.0428,-0.1069,0.0308,3.5897081425451e-18,32250000,32250000
"Sample.1","chr6",32325000,32725000,8,-0.6592,0.2432,-0.6399,0.1362,4.7806708287054e-10,32625000,33075000
"Sample.1","chr6",32775000,170647990,511,-0.2701,0.212,-0.2355,0.1724,NA,NA,NA
"Sample.1","chr7",55000,78275000,351,0.08,0.131,0.0976,0.0999,4.21866649116297e-30,77875000,79000000
"Sample.1","chr7",79000000,86950000,11,-0.3981,0.1634,-0.442,0.134,1.74761011478613e-25,86000000,87175000
"Sample.1","chr7",87175000,159242987,358,0.0524,0.1342,0.0732,0.1057,NA,NA,NA
"Sample.1","chr8",205000,145039318,526,0.009,0.1501,0.0261,0.1202,NA,NA,NA
"Sample.1","chr9",105000,138217359,281,0.1093,0.0827,0.1055,0.0675,NA,NA,NA
"Sample.1","chrX",2718744,155640448,304,0.1132,0.1589,0.1384,0.1342,NA,NA,NA
"Sample.1","chrY",3568744,24239248,13,-2.9798,0.5995,-2.9497,0.4927,NA,NA,NA
