Chrom	Chr	Start	End	Width	BAF.Value	BAF.Status	Start.FeatureName	End.FeatureName	Start.FeatureIdx	End.FeatureIdx	Features
chr1	1	754192	7706303	6952112	0.7994	Unbalanced	S-tag133716	S-tag244570	610	1	610
chr1	1	7727854	10629562	2901709	0.8011	Unbalanced	S-tag050078	S-tag239191	837	611	227
chr1	1	10643197	19435432	8792236	0.8101	Unbalanced	S-tag106800	S-tag245784	1655	838	818
chr1	1	19450334	21967945	2517612	0.8221	Unbalanced	S-tag283146	S-tag216271	1835	1656	180
chr1	1	21988622	30051330	8062709	0.8014	Unbalanced	S-tag302521	S-tag161166	2519	1836	684
chr1	1	30064009	31330844	1266836	0.7797	Unbalanced	S-tag216036	S-tag285152	2611	2520	92
chr1	1	31339570	35363186	4023617	0.8169	Unbalanced	S-tag118308	S-tag139513	2932	2612	321
chr1	1	35373374	39014741	3641368	0.7934	Unbalanced	S-tag078744	S-tag162144	3231	2933	299
chr1	1	39029775	76518160	37488386	0.6246	Unbalanced	S-tag143939	S-tag251772	6247	3232	3016
chr1	1	76546051	77696605	1150555	0.5	Hetero	S-tag008193	S-tag271771	6328	6248	81
chr1	1	77700723	77886499	185777	0.5527	Unbalanced	S-tag130756	S-tag316537	6347	6329	19
chr1	1	77895554	85230072	7334519	0.6279	Unbalanced	S-tag122982	S-tag105531	6851	6348	504
chr1	1	85234932	85779393	544462	0.67	Unbalanced	S-tag289542	S-tag050445	6902	6852	51
chr1	1	85785751	87760435	1974685	0.6434	Unbalanced	S-tag161725	S-tag287205	7052	6903	150
chr1	1	87769271	92862981	5093711	0.6227	Unbalanced	S-tag240692	S-tag167188	7474	7053	422
chr1	1	92870342	98378436	5508095	0.5	Hetero	S-tag049658	S-tag103362	7911	7475	437
chr1	1	98435544	100519557	2084014	0.6256	Unbalanced	S-tag134355	S-tag321817	8063	7912	152
chr1	1	100543962	110240929	9696968	0.5	Hetero	S-tag000523	S-tag318912	8821	8064	758
chr1	1	110246359	111434711	1188353	0.6064	Unbalanced	S-tag173535	S-tag162706	8937	8822	116
chr1	1	111459847	152246726	40786880	0.5	Hetero	S-tag049360	S-tag065152	10216	8938	1279
chr1	1	152251914	155252286	3000373	0.6259	Unbalanced	S-tag113764	S-tag259484	10462	10217	246
chr1	1	155273869	155960513	686645	0.6531	Unbalanced	S-tag034012	S-tag170672	10510	10463	48
chr1	1	155980320	205913848	49933529	0.6198	Unbalanced	S-tag266235	S-tag148945	14492	10511	3982
chr1	1	206162746	208520568	2357823	0.6057	Unbalanced	S-tag091722	S-tag024704	14640	14493	148
chr1	1	208548174	231669827	23121654	0.8096	Unbalanced	S-tag170158	S-tag237209	16426	14641	1786
chr1	1	231684247	238351334	6667088	0.8228	Unbalanced	S-tag041668	S-tag068745	16907	16427	481
chr1	1	238373636	249212878	10839243	0.8026	Unbalanced	S-tag158432	S-tag279722	17813	16908	906
chr2	2	21494	4377723	4356230	0.8135	Unbalanced	S-tag008358	S-tag227337	18101	17814	288
chr2	2	4395003	11791754	7396752	0.8028	Unbalanced	S-tag054862	S-tag093494	18621	18102	520
chr2	2	11813116	19355912	7542797	0.8149	Unbalanced	S-tag096450	S-tag133018	19279	18622	658
chr2	2	19375011	32355490	12980480	0.8042	Unbalanced	S-tag089672	S-tag109242	20410	19280	1131
chr2	2	32364131	47051551	14687421	0.8039	Unbalanced	S-tag234893	S-tag276219	21538	20411	1128
chr2	2	47067057	48873978	1806922	0.5	Hetero	S-tag063228	S-tag248415	21723	21539	185
chr2	2	48894604	50098545	1203942	0.5531	Unbalanced	S-tag093090	S-tag016046	21804	21724	81
chr2	2	50117534	109249886	59132353	0.8087	Unbalanced	S-tag198451	S-tag156708	25708	21805	3904
chr2	2	109256535	110470543	1214009	0.7935	Unbalanced	S-tag242398	S-tag258584	25792	25709	84
chr2	2	110861854	159330870	48469017	0.8061	Unbalanced	S-tag193268	S-tag087027	29713	25793	3921
chr2	2	159350135	166853054	7502920	0.7913	Unbalanced	S-tag026229	S-tag118761	30237	29714	524
chr2	2	166892788	173706731	6813944	0.8148	Unbalanced	S-tag013023	S-tag232711	30792	30238	555
chr2	2	173717889	175390924	1673036	0.7879	Unbalanced	S-tag076095	S-tag232937	30904	30793	112
chr2	2	175407780	205118871	29711092	0.8133	Unbalanced	S-tag003493	S-tag114313	32972	30905	2068
chr2	2	205132016	210514284	5382269	0.7929	Unbalanced	S-tag069948	S-tag272491	33354	32973	382
chr2	2	210515116	216977323	6462208	0.8095	Unbalanced	S-tag041379	S-tag206740	34063	33355	709
chr2	2	216993478	219202484	2209007	0.8298	Unbalanced	S-tag108753	S-tag154222	34208	34064	145
chr2	2	219222123	235815601	16593479	0.8043	Unbalanced	S-tag052857	S-tag324669	35401	34209	1193
chr2	2	235837310	237464671	1627362	0.7852	Unbalanced	S-tag134819	S-tag310255	35514	35402	113
chr2	2	237468449	242203220	4734772	0.8136	Unbalanced	S-tag313671	S-tag052882	35830	35515	316
chr2	2	242228780	243052331	823552	0.7786	Unbalanced	S-tag126752	S-tag082861	35915	35831	85
chr3	3	63411	48715245	48651835	0.5	Hetero	S-tag123447	S-tag035349	39674	35916	3759
chr3	3	48719453	49812866	1093414	0.5491	Unbalanced	S-tag038554	S-tag260754	39754	39675	80
chr3	3	49836707	197852564	148015858	0.5	Hetero	S-tag060514	S-tag251937	51111	39755	11357
chr4	4	69404	190915650	190846247	0.5	Hetero	S-tag272826	S-tag011735	64556	51112	13445
chr5	5	38139	180698312	180660174	0.5	Hetero	S-tag083571	S-tag320993	76910	64557	12354
chr6	6	204909	170913051	170708143	0.5	Hetero	S-tag032787	S-tag281247	89630	76911	12720
chr7	7	41421	4615004	4573584	0.8016	Unbalanced	S-tag316675	S-tag010255	90023	89631	393
chr7	7	4644925	7561580	2916656	0.8261	Unbalanced	S-tag228929	S-tag070620	90274	90024	251
chr7	7	7577129	126419412	118842284	0.8073	Unbalanced	S-tag282556	S-tag184987	98936	90275	8662
chr7	7	126425473	131116434	4690962	0.8248	Unbalanced	S-tag009201	S-tag046630	99369	98937	433
chr7	7	131146867	133848257	2701391	0.7977	Unbalanced	S-tag200664	S-tag319034	99561	99370	192
chr7	7	133873563	154250592	20377030	0.8121	Unbalanced	S-tag137516	S-tag074529	101260	99562	1699
chr7	7	154371838	159118443	4746606	0.8117	Unbalanced	S-tag296099	S-tag164900	101597	101261	337
chr8	8	172417	146292734	146120318	0.5	Hetero	S-tag057861	S-tag181025	113551	101598	11954
chr9	9	204738	141054761	140850024	0.5	Hetero	S-tag285604	S-tag292642	122083	113552	8532
chr10	10	126070	76317250	76191181	0.5	Hetero	S-tag288298	S-tag190394	127239	122084	5156
chr10	10	76334742	78482228	2147487	0.8242	Unbalanced	S-tag090761	S-tag004456	127415	127240	176
chr10	10	78486774	81869037	3382264	0.8006	Unbalanced	S-tag302561	S-tag172256	127640	127416	225
