"ID","chrom","loc.start","loc.end","num.mark","seg.mean","seg.sd","seg.median","seg.mad","pval","lcl","ucl"
"Sample.1","chr1",717994,56050000,484,-0.0819,0.0464,-0.0769,0.0392,5.28254988533461e-319,56050000,56700000
"Sample.1","chr1",56425000,120400000,204,0.0828,0.062,0.0833,0.0513,1.59536836741639e-06,120000000,120400000
"Sample.1","chr1",120775000,121738230,4,-0.0908,0.0471,-0.0852,0.0463,2.82536525034505e-26,121738230,143417294
"Sample.1","chr1",143417294,248898211,496,0.2495,0.0879,0.2473,0.0915,NA,NA,NA
"Sample.1","chr10",55000,133620233,603,-0.1387,0.0677,-0.1324,0.0496,NA,NA,NA
"Sample.1","chr11",130000,48150000,248,-0.1348,0.0617,-0.127,0.0471,1.00832291550259e-30,48150000,55037537
"Sample.1","chr11",48625000,56275000,10,-0.4313,0.2649,-0.3851,0.2118,3.15525120694827e-36,49325000,56275000
"Sample.1","chr11",56550000,88400000,246,-0.1239,0.0552,-0.1179,0.0429,8.07176285883822e-22,88151448,88975000
"Sample.1","chr11",88975000,91200000,5,-0.373,0.094,-0.4052,0.083,2.51558269188367e-12,90050000,92525000
"Sample.1","chr11",92525000,134913311,203,-0.1492,0.0644,-0.1374,0.0455,NA,NA,NA
"Sample.1","chr12",55000,34534704,149,0.1723,0.0755,0.1712,0.0605,4.01699456834157e-101,33425000,37805064
"Sample.1","chr12",37805064,72700000,176,0.0252,0.0458,0.0273,0.0388,6.83165065700037e-36,72700000,73825000
"Sample.1","chr12",73825000,75600000,5,-0.2534,0.1024,-0.295,0.1026,3.80744650073725e-26,75425000,75775000
"Sample.1","chr12",75775000,131675000,259,0.0264,0.0564,0.0311,0.0399,1.53136522424853e-54,131525000,131675000
"Sample.1","chr12",131725000,133182655,26,-0.1533,0.0376,-0.1433,0.0302,NA,NA,NA
"Sample.1","chr13",18554053,114302164,306,-0.1779,0.1027,-0.1573,0.0637,NA,NA,NA
"Sample.1","chr14",18981322,106841859,386,0.0502,0.0919,0.0536,0.0446,NA,NA,NA
"Sample.1","chr15",20062627,101840595,407,0.1922,0.0699,0.1851,0.058,NA,NA,NA
"Sample.1","chr16",80000,31975000,219,0.048,0.042,0.0456,0.0371,1.68749149949925e-41,31975000,32200000
"Sample.1","chr16",32200000,33925000,5,-0.2272,0.1056,-0.2377,0.1076,2.59324010047187e-38,33925000,33925000
"Sample.1","chr16",34125000,90139173,261,0.0605,0.0464,0.058,0.0378,NA,NA,NA
"Sample.1","chr17",130000,83148721,645,-0.1245,0.0549,-0.1183,0.0456,NA,NA,NA
"Sample.1","chr18",130000,80181643,168,0.0438,0.0508,0.0454,0.0447,NA,NA,NA
"Sample.1","chr19",180000,3825000,69,-0.0685,0.0398,-0.0672,0.0289,2.32445533658021e-66,3775000,3875000
"Sample.1","chr19",3875000,6600000,44,0.0557,0.0321,0.0602,0.0268,6.53074570482618e-50,6600000,6725000
"Sample.1","chr19",6725000,23200000,177,0.2091,0.0651,0.2032,0.0587,1.56781860881526e-249,22950000,23550000
"Sample.1","chr19",23550000,58578808,325,0.0346,0.0489,0.0318,0.0444,NA,NA,NA
"Sample.1","chr2",130000,207950000,718,-0.1429,0.0721,-0.1305,0.049,3.56297538362945e-06,206100000,210000000
"Sample.1","chr2",208175000,214025000,10,-0.2465,0.0978,-0.2539,0.1285,8.53922841142757e-14,210325000,215050000
"Sample.1","chr2",215050000,242091765,184,-0.1126,0.048,-0.1045,0.0446,NA,NA,NA
"Sample.1","chr20",158168,64292084,260,0.1537,0.0573,0.1501,0.0546,NA,NA,NA
"Sample.1","chr21",5055000,46649992,117,-0.1345,0.0782,-0.1226,0.0429,NA,NA,NA
"Sample.1","chr22",15716995,50754234,225,0.0436,0.0469,0.0479,0.0342,NA,NA,NA
"Sample.1","chr3",155000,198167780,680,0.0463,0.0703,0.0509,0.0497,NA,NA,NA
"Sample.1","chr4",155000,49572512,198,-0.1444,0.08,-0.1213,0.0566,3.87362119256972e-172,49143462,51921976
"Sample.1","chr4",51921976,136600000,194,-0.4566,0.1336,-0.4296,0.1061,5.42450467270506e-90,133725000,139150000
"Sample.1","chr4",138125000,190061561,140,-0.181,0.1041,-0.1639,0.0606,NA,NA,NA
"Sample.1","chr5",80000,2175000,39,0.2803,0.0622,0.2787,0.0688,9.84963128916122e-16,2050000,2725000
"Sample.1","chr5",2250000,17440274,53,0.4133,0.0822,0.42,0.0823,1.32233382835665e-09,17050000,19500000
"Sample.1","chr5",18140274,28325000,8,0.2008,0.1049,0.2273,0.128,6.46061729981083e-08,28325000,31325000
"Sample.1","chr5",30150000,59425000,75,0.4653,0.1195,0.4559,0.1158,2.2678648230095e-25,56850000,60925000
"Sample.1","chr5",60150000,123675000,158,0.3141,0.0885,0.3144,0.0991,1.21863373321908e-07,123225000,124275000
"Sample.1","chr5",124275000,126925000,6,0.535,0.0958,0.5551,0.0811,1.14979521455302e-11,126725000,127150000
"Sample.1","chr5",127025000,181364130,289,0.3043,0.0931,0.3,0.0898,NA,NA,NA
"Sample.1","chr6",205000,52725000,361,0.0489,0.1416,0.0609,0.041,8.50547215644345e-54,50825000,52875000
"Sample.1","chr6",52875000,105050000,98,-0.1945,0.1095,-0.1705,0.0738,1.00179470203181e-154,104900000,105225000
"Sample.1","chr6",105225000,170647990,281,0.044,0.0605,0.0491,0.0518,NA,NA,NA
"Sample.1","chr7",55000,80025000,353,-0.1405,0.0772,-0.1283,0.0582,3.17866376321261e-34,79000000,80025000
"Sample.1","chr7",80750000,86000000,8,-0.4943,0.1274,-0.4613,0.0974,3.09426340056295e-36,86000000,86950000
"Sample.1","chr7",86950000,159242987,359,-0.1454,0.0739,-0.1314,0.0538,NA,NA,NA
"Sample.1","chr8",205000,145039318,526,0.0518,0.0702,0.0578,0.051,NA,NA,NA
"Sample.1","chr9",105000,68610276,62,-0.1575,0.0734,-0.1519,0.0532,1.35460395869302e-117,67255970,68610276
"Sample.1","chr9",69075000,129525000,135,0.0332,0.0415,0.0351,0.0437,1.16666869469483e-113,129425000,129650000
"Sample.1","chr9",129650000,138217359,84,-0.0973,0.0406,-0.096,0.0423,NA,NA,NA
"Sample.1","chrX",2718744,66575000,125,0.373,0.099,0.3564,0.0958,0,66575000,66575000
"Sample.1","chrX",67525000,155640448,179,-0.3215,0.0934,-0.313,0.0787,NA,NA,NA
"Sample.1","chrY",3568744,24239248,13,-2.9256,0.5375,-2.8833,0.2952,NA,NA,NA
